['CV', 112, 'BV', 9, 'expand', 'dot', 'V3', 'V2', 1.0, 0.0318756103515625]
['UV', 7, 'CV', 120, 'nm', 'sync', 'V2', 'V3', 0.9962429555416406, 0.9402060508728027]
['BV', 36, 'CV', 300, 'libvlc.so', 'whoami', 'V2', 'V1', 0.994994994994995, 0.278378963470459]
['CV', 66, 'BV', 3, 'link', 'diff', 'V2', 'V1', 0.8980228928199792, 0.12786459922790527]
['BV', 61, 'CV', 276, 'cmp', 'uptime', 'V0', 'V1', 0.8803986710963455, 0.02664494514465332]
['CV', 41, 'UV', 71, 'nice', 'xargs', 'V2', 'V0', 0.8628841607565012, 0.04663848876953125]
['BV', 39, 'CV', 175, 'svn', 'stat', 'V1', 'V0', 0.997200186654223, 0.444840669631958]
['CV', 139, 'UV', 1, 'logname', 'xargs', 'V3', 'V2', 0.879286694101509, 0.10360407829284668]
['UV', 75, 'CV', 114, 'readelf', 'expr', 'V0', 'V3', 0.9807815502882767, 0.37349796295166016]
['CV', 110, 'UV', 41, 'wc', 'cmp', 'V3', 'V3', 0.9168000000000001, 0.0892949104309082]
['BV', 19, 'CV', 59, 'cp', 'head', 'V3', 'V2', 0.9652650822669104, 0.17122769355773926]
['UV', 34, 'CV', 222, 'elfedit', 'df', 'V3', 'V0', 0.9674502712477396, 0.09297060966491699]
['UV', 44, 'CV', 31, 'diff3', 'sha1sum', 'V1', 'V2', 0.9539473684210527, 0.07635331153869629]
['UV', 1, 'CV', 7, 'xargs', 'dir', 'V2', 'V2', 0.9141104294478528, 0.26675891876220703]
['CV', 220, 'UV', 24, 'cut', 'readelf', 'V0', 'V3', 0.9683972911963883, 0.4148581027984619]
['BV', 43, 'CV', 55, 'lua', 'nohup', 'V0', 'V2', 0.9890153001176932, 0.4543156623840332]
['UV', 56, 'BV', 17, 'c++filt', 'codeblocks', 'V1', 'V2', 0.9831429853872625, 63.535240650177]
['BV', 8, 'UV', 20, 'cluster', 'size', 'V2', 'V2', 0.9485897893609425, 3.9189810752868652]
['UV', 29, 'CV', 301, 'objcopy', 'ls', 'V3', 'V1', 0.9918864097363083, 2.3225769996643066]
['BV', 11, 'CV', 24, 'bash', 'factor', 'V1', 'V2', 0.9980548951804625, 1.5016107559204102]
['BV', 4, 'CV', 142, 'geany', 'nohup', 'V3', 'V3', 0.9992532979341243, 5.378667116165161]
['BV', 40, 'CV', 233, 'lua', 'head', 'V2', 'V0', 0.9959030385797201, 0.49523067474365234]
['CV', 183, 'BV', 0, 'users', 'bash', 'V0', 'V2', 0.9888590880957293, 1.339848518371582]
['CV', 273, 'BV', 13, 'stty', 'cp', 'V1', 'V2', 0.904550499445061, 0.1335740089416504]
['UV', 32, 'BV', 0, 'addr2line', 'bash', 'V3', 'V2', 0.9668055755137233, 28.683948755264282]
['BV', 42, 'UV', 46, 'libvlc.so', 'diff', 'V1', 'V1', 0.9897959183673469, 1.5287892818450928]
['UV', 35, 'CV', 276, 'size', 'uptime', 'V3', 'V1', 0.9969405594405595, 0.7353930473327637]
['CV', 311, 'BV', 73, 'cksum', 'geany', 'V1', 'V0', 0.9949235837338661, 3.040656089782715]
['UV', 73, 'CV', 76, 'nm', 'comm', 'V0', 'V2', 0.9939222921640981, 0.8327827453613281]
['UV', 2, 'BV', 44, 'find', 'make', 'V2', 'V0', 0.967391304347826, 1.916090488433838]
['BV', 65, 'UV', 2, 'ssh', 'find', 'V1', 'V2', 0.9901003904071388, 12.786075115203857]
['BV', 57, 'CV', 212, 'svn', 'split', 'V2', 'V0', 0.9953445065176909, 0.4225912094116211]
['UV', 76, 'CV', 282, 'as', 'chgrp', 'V0', 'V1', 0.9969389174899124, 1.6692125797271729]
['BV', 53, 'CV', 159, 'ssh', 'id', 'V2', 'V3', 0.9984922728986053, 2.831279754638672]
['BV', 6, 'CV', 1, 'libvlc.so', 'stat', 'V0', 'V2', 0.9915915915915916, 0.3390810489654541]
['BV', 51, 'CV', 210, 'cp', 'chroot', 'V0', 'V0', 0.9718804920913884, 0.05255579948425293]
['UV', 27, 'CV', 174, 'c++filt', 'touch', 'V3', 'V0', 0.9969217238346526, 0.8882837295532227]
['CV', 336, 'BV', 66, 'tr', 'lua', 'V1', 'V1', 0.9660527266161069, 0.49072265625]
['UV', 1, 'CV', 104, 'xargs', 'mkfifo', 'V2', 'V3', 0.9437751004016064, 0.09921407699584961]
['UV', 45, 'BV', 65, 'cmp', 'ssh', 'V1', 'V1', 0.9842579277983804, 2.983905792236328]
['UV', 45, 'CV', 134, 'cmp', 'od', 'V1', 'V3', 0.9089655172413793, 0.11146068572998047]
['CV', 7, 'UV', 16, 'dir', 'gprof', 'V2', 'V2', 0.9704810495626822, 2.683319091796875]
['UV', 46, 'CV', 116, 'diff', 'tail', 'V1', 'V3', 0.9609325771896661, 0.40045905113220215]
['BV', 0, 'CV', 266, 'bash', 'mkdir', 'V2', 'V1', 0.99774312679524, 1.7035372257232666]
['BV', 57, 'CV', 13, 'svn', 'join', 'V2', 'V2', 0.9893569844789357, 0.5839347839355469]
['CV', 65, 'UV', 35, 'env', 'size', 'V2', 'V3', 0.9811939645746774, 0.7772548198699951]
['BV', 2, 'CV', 218, 'cmp', 'true', 'V1', 'V0', 0.9701492537313433, 0.03140068054199219]
['CV', 50, 'UV', 65, 'cksum', 'objdump', 'V2', 'V1', 0.9825563909774436, 1.1351289749145508]
['CV', 185, 'BV', 12, 'printenv', 'sort', 'V0', 'V2', 0.9166666666666666, 0.08054685592651367]
['CV', 114, 'BV', 74, 'expr', 'git', 'V3', 'V1', 0.9872552546379567, 4.428562164306641]
['UV', 59, 'CV', 123, 'ld', 'chroot', 'V1', 'V3', 0.9966101694915255, 1.6540741920471191]
['BV', 68, 'CV', 277, 'dot', 'dd', 'V0', 'V1', 0.9947089947089947, 0.03720259666442871]
['CV', 212, 'BV', 14, 'split', 'openssl', 'V0', 'V3', 0.9940038157536113, 1.939211130142212]
['BV', 16, 'UV', 8, 'libvlc.so', 'strip', 'V3', 'V2', 0.9592391304347826, 8.300765991210938]
['CV', 313, 'UV', 19, 'logname', 'elfedit', 'V1', 'V2', 0.9587628865979382, 0.046601057052612305]
['BV', 42, 'CV', 99, 'libvlc.so', 'stty', 'V1', 'V3', 0.9919799498746867, 0.5342700481414795]
['BV', 32, 'UV', 63, 'perl', 'elfedit', 'V0', 'V1', 0.9986843341791185, 1.8824107646942139]
['BV', 58, 'CV', 311, 'ruby', 'cksum', 'V3', 'V1', 0.9880239520958084, 0.009456634521484375]
['UV', 44, 'CV', 228, 'diff3', 'false', 'V1', 'V0', 0.9801980198019802, 0.039803266525268555]
['CV', 206, 'UV', 23, 'paste', 'strip', 'V0', 'V3', 0.9851905363915477, 0.7777893543243408]
['CV', 21, 'UV', 51, 'chgrp', 'nm', 'V2', 'V1', 0.9707707707707708, 1.6234633922576904]
['UV', 61, 'CV', 168, 'addr2line', 'sleep', 'V1', 'V3', 0.9962161025856633, 0.9019346237182617]
['BV', 36, 'UV', 27, 'libvlc.so', 'c++filt', 'V2', 'V3', 0.9686489980607628, 6.953636407852173]
['CV', 111, 'BV', 75, 'factor', 'cmp', 'V3', 'V2', 0.9483500717360115, 0.09952235221862793]
['BV', 67, 'UV', 76, 'cluster', 'as', 'V0', 'V0', 0.952513966480447, 5.1280293464660645]
['CV', 146, 'BV', 49, 'head', 'make', 'V3', 'V3', 0.95706311721769, 0.5476288795471191]
['UV', 52, 'BV', 43, 'strip', 'lua', 'V1', 'V0', 0.97552701720378, 9.50194764137268]
['UV', 22, 'CV', 276, 'nm', 'uptime', 'V3', 'V1', 0.9952657628577577, 0.7504086494445801]
['UV', 69, 'CV', 112, 'sdiff', 'expand', 'V0', 'V3', 0.9346210995542348, 0.09370827674865723]
['UV', 58, 'CV', 160, 'objcopy', 'shred', 'V1', 'V3', 0.9934127979924717, 2.170781373977661]
['UV', 69, 'BV', 26, 'sdiff', 'geany', 'V0', 'V2', 0.9912854030501089, 10.651778936386108]
['UV', 73, 'CV', 6, 'nm', 'fmt', 'V0', 'V2', 0.9956427015250545, 0.7655932903289795]
['BV', 47, 'UV', 63, 'dot', 'elfedit', 'V3', 'V1', 0.9263803680981595, 0.031891584396362305]
['BV', 2, 'CV', 148, 'cmp', 'ginstall', 'V1', 'V3', 0.9227608874281019, 0.2371358871459961]
['CV', 219, 'UV', 80, 'cp', 'objcopy', 'V0', 'V0', 0.9683317009467842, 2.139535427093506]
['CV', 145, 'UV', 67, 'readlink', 'cmp', 'V3', 'V0', 0.9265442404006677, 0.08602499961853027]
['CV', 33, 'UV', 69, 'sync', 'sdiff', 'V2', 'V0', 0.8846153846153846, 0.08043432235717773]
['CV', 264, 'UV', 30, 'test', 'ld', 'V1', 'V3', 0.9857407671467275, 1.2042815685272217]
['BV', 16, 'CV', 167, 'libvlc.so', 'uniq', 'V3', 'V3', 0.9927960378208014, 0.6241395473480225]
['UV', 60, 'CV', 256, 'gprof', 'sort', 'V1', 'V0', 0.9962164207340144, 1.5016391277313232]
['UV', 44, 'CV', 197, 'diff3', 'wc', 'V1', 'V0', 0.9602169981916817, 0.05566978454589844]
