['CO', 213, 'BO', 56, 'basename', 'libvlc.so.12.0.0', 'O2', 'O3', 0.9878481012658228, 0.4390532970428467]
['BO', 12, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O3', 0.9993225915711037, 5.519752264022827]
['CO', 262, 'BO', 2, 'true', 'perl', 'O2', 'O1', 0.9946967950195988, 1.9271962642669678]
['CO', 270, 'BO', 25, 'printf', 'dot', 'O2', 'O3', 1.0, 0.03241848945617676]
['CO', 373, 'UO', 9, 'cksum', 'strings', 'O0', 'O1', 0.9727805695142379, 1.1503734588623047]
['CO', 25, 'BO', 54, 'chgrp', 'lua', 'O3', 'O3', 0.9693757361601885, 1.1368494033813477]
['CO', 362, 'UO', 66, 'dircolors', 'nm', 'O0', 'O0', 0.9872681981732632, 2.295097589492798]
['BO', 10, 'CO', 66, 'openssl', 'runcon', 'O3', 'O3', 0.9984432336261537, 1.9509961605072021]
['CO', 351, 'UO', 45, 'paste', 'strip', 'O0', 'O3', 0.9758136226213765, 1.5135505199432373]
['CO', 258, 'BO', 13, 'dircolors', 'ruby', 'O2', 'O1', 0.9934508987959204, 5.707523584365845]
['BO', 24, 'CO', 166, 'cluster', 'printf', 'O3', 'O1', 0.969521044992743, 0.3175029754638672]
['CO', 244, 'BO', 77, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.9827213822894169, 2.3348121643066406]
['CO', 289, 'BO', 26, 'cat', 'gvmap', 'O2', 'O3', 0.9664723032069971, 0.23985528945922852]
['CO', 77, 'UO', 65, 'env', 'sdiff', 'O3', 'O3', 0.891640866873065, 0.08985781669616699]
['CO', 277, 'BO', 57, 'who', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9922429287673825, 3.1145334243774414]
['UO', 67, 'CO', 356, 'strip', 'seq', 'O0', 'O0', 0.9988220049475792, 2.17314076423645]
['CO', 324, 'UO', 11, 'ptx', 'ld', 'O0', 'O1', 0.9714894750865974, 3.259049654006958]
['UO', 12, 'CO', 66, 'gprof', 'runcon', 'O1', 'O3', 0.9988301813218952, 0.9180285930633545]
['UO', 77, 'CO', 47, 'ar', 'numfmt', 'O0', 'O3', 0.9975987193169691, 2.1399192810058594]
['CO', 233, 'UO', 35, 'chgrp', 'gprof', 'O2', 'O2', 0.9669230769230769, 1.8580577373504639]
['CO', 88, 'BO', 22, 'shred', 'perl', 'O3', 'O0', 0.9910034602076124, 5.988255739212036]
['CO', 188, 'BO', 23, 'vdir', 'git', 'O1', 'O2', 0.9815738314597244, 15.387038707733154]
['CO', 47, 'BO', 69, 'numfmt', 'cmp', 'O3', 'O3', 0.9493670886075949, 0.08788108825683594]
['CO', 375, 'BO', 15, 'logname', 'diff', 'O0', 'O0', 0.9227738376674547, 0.24042725563049316]
['UO', 68, 'CO', 310, 'readelf', 'mknod', 'O0', 'O2', 0.9947131905894793, 0.6647226810455322]
['CO', 44, 'UO', 72, 'seq', 'strings', 'O3', 'O0', 0.9929557621865314, 1.9961516857147217]
['CO', 280, 'UO', 10, 'head', 'objcopy', 'O2', 'O1', 0.9762355777509902, 1.120957612991333]
['CO', 230, 'BO', 62, 'pwd', 'bash', 'O2', 'O1', 0.9870543908801082, 1.7890145778656006]
['BO', 59, 'CO', 333, 'libgeany.so.0.0.0', 'mktemp', 'O3', 'O0', 0.9988966126006841, 8.590973615646362]
['BO', 26, 'CO', 81, 'gvmap', 'cat', 'O3', 'O3', 0.9847856154910097, 0.30113768577575684]
['CO', 27, 'UO', 16, 'wc', 'size', 'O3', 'O1', 0.9681632653061224, 1.4413206577301025]
['CO', 185, 'BO', 18, 'cat', 'libvlc.so.12.0.0', 'O1', 'O1', 0.9753972321886212, 0.5377063751220703]
['BO', 61, 'CO', 50, 'git', 'dircolors', 'O1', 'O3', 0.9987032074003631, 4.828972339630127]
['UO', 45, 'BO', 81, 'strip', 'sort', 'O3', 'O3', 0.984251968503937, 3.5011978149414062]
['CO', 59, 'BO', 56, 'tsort', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9865707434052757, 0.5922160148620605]
['CO', 160, 'UO', 84, 'cut', 'sdiff', 'O1', 'O0', 0.9244755244755245, 0.1258678436279297]
['CO', 182, 'BO', 39, 'chcon', 'codeblocks', 'O1', 'O3', 0.9909589536495691, 9.206871509552002]
['BO', 56, 'CO', 214, 'libvlc.so.12.0.0', 'mkdir', 'O3', 'O2', 0.9932756964457252, 0.5581200122833252]
['UO', 56, 'CO', 263, 'elfedit', 'cp', 'O3', 'O2', 0.9826923076923076, 0.23414397239685059]
['CO', 225, 'UO', 53, 'stdbuf', 'gprof', 'O2', 'O3', 0.9821681864235056, 1.106701374053955]
['BO', 70, 'CO', 186, 'diff', 'shuf', 'O3', 'O1', 0.9651515151515151, 0.3222205638885498]
['CO', 70, 'UO', 72, 'b2sum', 'strings', 'O3', 'O0', 0.9930187098575817, 2.527275323867798]
['UO', 47, 'CO', 372, 'as', 'base64', 'O3', 'O0', 0.9935397039030955, 1.8714640140533447]
['UO', 29, 'BO', 75, 'as', 'gvmap', 'O2', 'O1', 0.9874019491323984, 6.255436182022095]
['BO', 66, 'CO', 390, 'svn', 'chcon', 'O2', 'O0', 0.97945448104853, 1.4753708839416504]
['CO', 325, 'UO', 60, 'printenv', 'xargs', 'O0', 'O3', 0.9462517680339463, 0.14638519287109375]
['BO', 64, 'UO', 22, 'dot', 'diff3', 'O0', 'O2', 0.9813953488372094, 0.04528164863586426]
['CO', 150, 'BO', 75, 'whoami', 'gvmap', 'O1', 'O1', 0.9585714285714286, 0.2568333148956299]
['CO', 9, 'BO', 26, 'du', 'gvmap', 'O3', 'O3', 0.9564315352697096, 0.7692375183105469]
['UO', 70, 'CO', 274, 'ranlib', 'runcon', 'O0', 'O2', 0.9975369458128078, 1.1298489570617676]
['CO', 260, 'BO', 24, 'sha256sum', 'cluster', 'O2', 'O3', 0.9579263711495116, 0.27428746223449707]
['UO', 41, 'CO', 415, 'locate', 'ln', 'O2', 'O0', 0.9648885887913572, 0.5687921047210693]
['CO', 116, 'BO', 69, 'ptx', 'cmp', 'O1', 'O3', 0.9411764705882353, 0.10927486419677734]
['BO', 59, 'CO', 369, 'libgeany.so.0.0.0', 'od', 'O3', 'O0', 0.9989736070381232, 10.312492370605469]
['CO', 333, 'UO', 12, 'mktemp', 'gprof', 'O0', 'O1', 0.9691663494480396, 1.7116539478302002]
['CO', 7, 'UO', 53, 'fmt', 'gprof', 'O3', 'O3', 0.9674568099638409, 1.1223745346069336]
['CO', 123, 'UO', 12, 'dd', 'gprof', 'O1', 'O1', 0.9698940717338784, 2.1229138374328613]
['CO', 370, 'UO', 24, 'df', 'diff', 'O0', 'O2', 0.9092676604018146, 0.5183405876159668]
['UO', 80, 'CO', 336, 'objdump', 'tee', 'O0', 'O0', 0.998325425620988, 2.5922772884368896]
['CO', 336, 'BO', 56, 'tee', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9865449303219606, 0.703070878982544]
['BO', 69, 'UO', 16, 'cmp', 'size', 'O3', 'O1', 0.9756550443573344, 1.2948052883148193]
['CO', 32, 'UO', 49, 'expr', 'c++filt', 'O3', 'O3', 0.9644174441310479, 1.2978808879852295]
['CO', 68, 'UO', 11, 'yes', 'ld', 'O3', 'O1', 0.9855835874688107, 1.4853193759918213]
['CO', 285, 'BO', 8, 'env', 'cp', 'O2', 'O0', 0.9373695198329854, 0.24193882942199707]
['BO', 4, 'CO', 331, 'libgeany.so.0.0.0', 'dd', 'O2', 'O0', 0.9994753017015217, 12.177890300750732]
['BO', 9, 'CO', 257, 'git', 'nice', 'O0', 'O2', 0.9990444753300903, 3.1530768871307373]
['CO', 215, 'UO', 54, 'fmt', 'addr2line', 'O2', 'O3', 0.9766468385106851, 0.926844596862793]
['UO', 61, 'CO', 65, 'find', 'false', 'O3', 'O3', 0.9910434393193014, 0.3792712688446045]
['CO', 369, 'BO', 29, 'od', 'libvlc.so.12.0.0', 'O0', 'O2', 0.9831144465290806, 0.9400343894958496]
