['UO', 30, 'CO', 186, 'ranlib', 'shuf', 'O2', 'O1', 0.9925078864353313, 1.6528899669647217]
['CO', 254, 'BO', 61, 'whoami', 'git', 'O2', 'O1', 0.9953945081682308, 3.113910436630249]
['BO', 75, 'CO', 225, 'gvmap', 'stdbuf', 'O1', 'O2', 0.9680333564975677, 0.29700255393981934]
['UO', 60, 'CO', 339, 'xargs', 'wc', 'O3', 'O0', 0.964622641509434, 0.21523427963256836]
['UO', 30, 'CO', 274, 'ranlib', 'runcon', 'O2', 'O2', 0.9962740633409232, 0.6814665794372559]
['CO', 268, 'BO', 34, 'base64', 'cp', 'O2', 'O2', 0.8734693877551021, 0.14626359939575195]
['UO', 55, 'BO', 83, 'ar', 'lua', 'O3', 'O2', 0.9719391131700861, 9.359295845031738]
['BO', 37, 'UO', 14, 'gvmap', 'ar', 'O2', 'O1', 0.9501495513459621, 4.479221343994141]
['UO', 38, 'CO', 25, 'elfedit', 'chgrp', 'O2', 'O3', 0.9739243807040417, 0.16264629364013672]
['UO', 46, 'CO', 260, 'readelf', 'sha256sum', 'O3', 'O2', 0.992100538599641, 0.5258913040161133]
['BO', 14, 'CO', 99, 'cmp', 'sort', 'O0', 'O3', 0.9036544850498339, 0.25315237045288086]
['BO', 1, 'CO', 252, 'ssh', 'seq', 'O2', 'O2', 0.9970453538188802, 1.3516170978546143]
['BO', 3, 'CO', 276, 'openssl', 'yes', 'O1', 'O2', 0.9988772875266644, 1.7504980564117432]
['BO', 47, 'CO', 279, 'libvlc.so.12.0.0', 'readlink', 'O0', 'O2', 0.9883251010327795, 0.6080405712127686]
['UO', 69, 'CO', 120, 'as', 'dirname', 'O0', 'O1', 0.9964386129334583, 1.9677379131317139]
['CO', 316, 'BO', 58, 'test', 'svn', 'O0', 'O1', 0.9761526232114467, 0.845404863357544]
['UO', 26, 'CO', 13, 'nm', 'printenv', 'O2', 'O3', 0.9957310565635006, 0.7988660335540771]
['BO', 36, 'UO', 4, 'cluster', 'strip', 'O2', 'O1', 0.9502787403947567, 4.7021307945251465]
['CO', 89, 'UO', 44, 'pathchk', 'nm', 'O3', 'O3', 0.9747052518756699, 1.0345780849456787]
['UO', 61, 'CO', 27, 'find', 'wc', 'O3', 'O3', 0.9847586790855207, 0.5995810031890869]
['BO', 78, 'CO', 208, 'ssh', 'sha384sum', 'O0', 'O2', 0.9955283596140269, 1.744372844696045]
['UO', 28, 'BO', 60, 'readelf', 'openssl', 'O2', 'O0', 0.9737554334454195, 22.312253713607788]
['BO', 18, 'CO', 209, 'libvlc.so.12.0.0', 'touch', 'O1', 'O2', 0.9895882631329863, 0.7593975067138672]
['UO', 37, 'CO', 22, 'ar', 'pwd', 'O2', 'O3', 0.9967676767676767, 1.1704468727111816]
['BO', 37, 'CO', 406, 'gvmap', 'rm', 'O2', 'O0', 0.9543639475185397, 0.6503245830535889]
['UO', 53, 'CO', 368, 'gprof', 'cut', 'O3', 'O0', 0.992017561364997, 1.3497951030731201]
['CO', 119, 'UO', 34, 'join', 'ld', 'O1', 'O2', 0.9757017176372015, 2.1250429153442383]
['CO', 230, 'BO', 40, 'pwd', 'lua', 'O2', 'O0', 0.9871952721004679, 0.8636834621429443]
['BO', 71, 'CO', 138, 'libSDL2-2.0.so.0.16.0', 'tail', 'O0', 'O1', 0.9929306580725648, 4.065378427505493]
['CO', 104, 'BO', 66, 'sha384sum', 'svn', 'O1', 'O2', 0.9797898140662894, 0.7431294918060303]
['UO', 13, 'CO', 172, 'addr2line', 'yes', 'O1', 'O1', 0.9928526382173639, 0.8772101402282715]
['BO', 45, 'CO', 70, 'diff', 'b2sum', 'O2', 'O3', 0.9708973322554567, 0.24834537506103516]
['CO', 316, 'BO', 3, 'test', 'openssl', 'O0', 'O1', 0.991166077738516, 3.614072799682617]
['UO', 80, 'CO', 137, 'objdump', 'chown', 'O0', 'O1', 0.9952463662126337, 5.156590938568115]
['BO', 70, 'CO', 58, 'diff', 'df', 'O3', 'O3', 0.9429708222811671, 0.4306490421295166]
['UO', 63, 'CO', 9, 'cmp', 'du', 'O3', 'O3', 0.9110251450676983, 0.18346762657165527]
['UO', 76, 'BO', 16, 'addr2line', 'make', 'O0', 'O0', 0.9884199977730765, 10.128248929977417]
['CO', 156, 'BO', 0, 'sha256sum', 'codeblocks', 'O1', 'O1', 0.9939145553899652, 4.375552654266357]
['CO', 102, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9932370820668693, 7.572778224945068]
['UO', 3, 'CO', 104, 'nm', 'sha384sum', 'O1', 'O1', 0.9885737604570496, 1.2127726078033447]
['UO', 75, 'BO', 72, 'gprof', 'make', 'O0', 'O2', 0.9795829713292789, 10.185031652450562]
['BO', 1, 'CO', 81, 'ssh', 'cat', 'O2', 'O3', 0.9970562260818369, 1.4056391716003418]
['CO', 151, 'UO', 68, 'numfmt', 'readelf', 'O1', 'O0', 0.981590386090514, 1.0993900299072266]
['CO', 54, 'BO', 51, 'true', 'lua', 'O3', 'O1', 0.9668375037684654, 0.5643479824066162]
['BO', 59, 'CO', 274, 'libgeany.so.0.0.0', 'runcon', 'O3', 'O2', 0.9996296982040362, 4.0428056716918945]
['CO', 180, 'BO', 57, 'md5sum', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.990536576133245, 3.0486528873443604]
['CO', 292, 'UO', 76, 'vdir', 'addr2line', 'O2', 'O0', 0.9767503302509908, 4.619037866592407]
['BO', 71, 'UO', 4, 'libSDL2-2.0.so.0.16.0', 'strip', 'O0', 'O1', 0.9775662814411965, 41.07649612426758]
['UO', 80, 'CO', 356, 'objdump', 'seq', 'O0', 'O0', 0.9981424723692764, 2.647634744644165]
['CO', 55, 'UO', 84, 'cp', 'sdiff', 'O3', 'O0', 0.9518633540372671, 0.32146787643432617]
['UO', 60, 'CO', 365, 'xargs', 'chmod', 'O3', 'O0', 0.963963963963964, 0.2871711254119873]
['CO', 394, 'BO', 46, 'shuf', 'ruby', 'O0', 'O3', 0.9876914753322287, 12.981984376907349]
['BO', 24, 'CO', 206, 'cluster', 'mknod', 'O3', 'O1', 0.9788039364118092, 0.26406431198120117]
['CO', 252, 'BO', 61, 'seq', 'git', 'O2', 'O1', 0.9933304460805543, 4.405671834945679]
['BO', 23, 'CO', 371, 'git', 'tsort', 'O2', 'O0', 0.9993946731234867, 4.771109104156494]
['BO', 40, 'CO', 266, 'lua', 'df', 'O0', 'O2', 0.9858447488584475, 1.7874469757080078]
['CO', 72, 'UO', 56, 'head', 'elfedit', 'O3', 'O3', 0.9898648648648649, 0.10193109512329102]
['CO', 120, 'UO', 87, 'dirname', 'find', 'O1', 'O0', 0.9776422764227642, 0.6329364776611328]
['UO', 34, 'BO', 46, 'ld', 'ruby', 'O2', 'O3', 0.9800718082885691, 172.18544244766235]
['CO', 161, 'UO', 24, 'od', 'diff', 'O1', 'O2', 0.9018987341772152, 0.3016238212585449]
['CO', 381, 'BO', 61, 'who', 'git', 'O0', 'O1', 0.9909471052291244, 6.383976459503174]
['CO', 260, 'UO', 68, 'sha256sum', 'readelf', 'O2', 'O0', 0.9858897308596812, 0.8284657001495361]
['BO', 59, 'CO', 297, 'libgeany.so.0.0.0', 'pathchk', 'O3', 'O2', 0.9996299859394657, 4.586531162261963]
['BO', 81, 'CO', 367, 'sort', 'cp', 'O3', 'O0', 0.9404818138875768, 0.8910691738128662]
['BO', 0, 'CO', 46, 'codeblocks', 'whoami', 'O1', 'O3', 0.9987549800796812, 3.20662260055542]
['BO', 44, 'UO', 3, 'cmp', 'nm', 'O2', 'O1', 0.9719569193253403, 1.2118959426879883]
['CO', 164, 'BO', 41, 'base64', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9802376485303315, 2.408893585205078]
