['CO', 259, 'BO', 6, 'realpath', 'codeblocks', 'O2', 'O0', 0.9951507388261128, 7.283843517303467]
['BO', 5, 'CO', 136, 'libgeany.so.0.0.0', 'expr', 'O1', 'O1', 0.9991665088084865, 7.685032367706299]
['CO', 319, 'BO', 5, 'fmt', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9906634279641718, 8.273262977600098]
['BO', 12, 'CO', 28, 'libgeany.so.0.0.0', 'factor', 'O0', 'O3', 0.9996718262867145, 18.86446738243103]
['CO', 189, 'BO', 12, '[', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9969679257689779, 22.552515268325806]
['CO', 398, 'BO', 6, 'timeout', 'codeblocks', 'O0', 'O0', 0.9953488372093023, 9.452092409133911]
['BO', 12, 'CO', 221, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O2', 0.9997435709575793, 9.214733362197876]
['CO', 385, 'BO', 12, 'hostid', 'libgeany.so.0.0.0', 'O0', 'O0', 0.997621530636515, 18.416401386260986]
['BO', 12, 'CO', 127, 'libgeany.so.0.0.0', 'pr', 'O0', 'O1', 0.9994168564920274, 22.62397575378418]
['BO', 12, 'CO', 303, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O2', 0.9995976223136717, 12.799353837966919]
['BO', 6, 'CO', 135, 'codeblocks', 'date', 'O0', 'O1', 0.9977291307112363, 8.995172500610352]
['UO', 27, 'BO', 6, 'strip', 'codeblocks', 'O2', 'O0', 0.9793951971538689, 97.8520998954773]
['BO', 5, 'UO', 14, 'libgeany.so.0.0.0', 'ar', 'O1', 'O1', 0.9976701291136783, 93.01782178878784]
['UO', 22, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9906864044220649, 9.298171520233154]
['BO', 6, 'CO', 180, 'codeblocks', 'md5sum', 'O0', 'O1', 0.9984440071392614, 5.784414768218994]
['BO', 6, 'CO', 117, 'codeblocks', 'printenv', 'O0', 'O1', 0.998439006473532, 4.490552663803101]
['BO', 6, 'CO', 32, 'codeblocks', 'expr', 'O0', 'O3', 0.9984501071249487, 6.523886203765869]
['BO', 12, 'CO', 402, 'libgeany.so.0.0.0', 'tr', 'O0', 'O0', 0.9998905369164249, 17.721603870391846]
['CO', 410, 'BO', 12, 'sleep', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9975125743026978, 19.24314260482788]
['CO', 350, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9914316044889293, 8.499691724777222]
['CO', 322, 'BO', 12, 'users', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9975497814917077, 20.096009254455566]
['CO', 27, 'BO', 12, 'wc', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9977363588236368, 23.189485788345337]
['CO', 84, 'BO', 12, 'vdir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9958769598003581, 53.60933470726013]
['BO', 6, 'CO', 89, 'codeblocks', 'pathchk', 'O0', 'O3', 0.9991764275256223, 5.042063474655151]
['BO', 6, 'CO', 373, 'codeblocks', 'cksum', 'O0', 'O0', 0.9995419777401182, 5.19591498374939]
['CO', 197, 'BO', 5, 'nl', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9926258172419036, 6.672752618789673]
