['CO', 201, 'BO', 6, 'uniq', 'codeblocks', 'O1', 'O0', 0.9936969032611674, 7.985165596008301]
['BO', 6, 'CO', 24, 'codeblocks', 'tee', 'O0', 'O3', 0.9988119173825626, 5.8941874504089355]
['UO', 5, 'BO', 6, 'readelf', 'codeblocks', 'O1', 'O0', 0.9789639322539235, 47.3711040019989]
['UO', 83, 'BO', 5, 'diff', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9814801151036671, 26.976348400115967]
['BO', 5, 'CO', 183, 'libgeany.so.0.0.0', 'link', 'O1', 'O1', 0.9993143640726774, 4.809299468994141]
['BO', 6, 'CO', 339, 'codeblocks', 'wc', 'O0', 'O0', 0.9992708380804812, 7.685070276260376]
['CO', 270, 'BO', 5, 'printf', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9939170436832301, 6.946434020996094]
['BO', 5, 'CO', 2, 'libgeany.so.0.0.0', 'stat', 'O1', 'O3', 0.9989456243410152, 10.50489854812622]
['CO', 90, 'BO', 5, 'tr', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9931730258666465, 7.9855475425720215]
['BO', 12, 'CO', 66, 'libgeany.so.0.0.0', 'runcon', 'O0', 'O3', 0.9998536272985088, 10.896068572998047]
['BO', 6, 'CO', 47, 'codeblocks', 'numfmt', 'O0', 'O3', 0.9989059080962801, 6.686872720718384]
['BO', 12, 'CO', 351, 'libgeany.so.0.0.0', 'paste', 'O0', 'O0', 0.9998172080355348, 14.054619789123535]
['BO', 5, 'CO', 155, 'libgeany.so.0.0.0', 'realpath', 'O1', 'O1', 0.9991652437867578, 6.867147922515869]
['CO', 161, 'BO', 5, 'od', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9894107858709629, 10.205054998397827]
['BO', 5, 'CO', 40, 'libgeany.so.0.0.0', 'sync', 'O1', 'O3', 0.9993915887139706, 5.275343179702759]
['BO', 5, 'CO', 298, 'libgeany.so.0.0.0', 'tr', 'O1', 'O2', 0.9993917968601513, 5.7126805782318115]
['CO', 415, 'BO', 5, 'ln', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9882216137139428, 16.55374002456665]
['BO', 5, 'CO', 392, 'libgeany.so.0.0.0', 'uname', 'O1', 'O0', 0.9998477814141107, 5.306857347488403]
['BO', 12, 'CO', 60, 'libgeany.so.0.0.0', 'base64', 'O0', 'O3', 0.9995613554117776, 14.068427324295044]
['BO', 6, 'CO', 201, 'codeblocks', 'uniq', 'O0', 'O1', 0.9980816662099206, 6.784209489822388]
['BO', 12, 'CO', 337, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O0', 0.9996725784447477, 26.92011332511902]
['BO', 12, 'CO', 309, 'libgeany.so.0.0.0', 'rmdir', 'O0', 'O2', 0.999743810273208, 11.684762954711914]
['CO', 230, 'BO', 5, 'pwd', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9948983476737988, 6.087088108062744]
['CO', 337, 'BO', 6, 'chgrp', 'codeblocks', 'O0', 'O0', 0.9901468926553673, 13.70771837234497]
['BO', 12, 'CO', 191, 'libgeany.so.0.0.0', 'id', 'O0', 'O1', 0.9995613554117776, 15.284364938735962]
['BO', 6, 'CO', 64, 'codeblocks', 'tty', 'O0', 'O3', 0.9992664588300019, 4.574530124664307]
