['BO', 5, 'UO', 74, 'libgeany.so.0.0.0', 'ld', 'O1', 'O0', 0.995210514591223, 166.67797803878784]
['BO', 12, 'CO', 238, 'libgeany.so.0.0.0', 'expand', 'O0', 'O2', 0.999670643343336, 10.029458999633789]
['BO', 5, 'CO', 375, 'libgeany.so.0.0.0', 'logname', 'O1', 'O0', 0.9997716286682146, 4.28045392036438]
['BO', 12, 'CO', 113, 'libgeany.so.0.0.0', 'du', 'O0', 'O1', 0.9992022337455125, 29.381993293762207]
['CO', 219, 'BO', 5, 'groups', 'libgeany.so.0.0.0', 'O2', 'O1', 0.994210847044485, 4.45849609375]
['CO', 277, 'BO', 6, 'who', 'codeblocks', 'O2', 'O0', 0.9973461450469, 5.855005264282227]
['BO', 12, 'UO', 43, 'libgeany.so.0.0.0', 'find', 'O0', 'O2', 0.9975925368642793, 70.87507128715515]
['CO', 111, 'BO', 6, 'fmt', 'codeblocks', 'O1', 'O0', 0.995330525544772, 5.053684949874878]
['BO', 12, 'CO', 146, 'libgeany.so.0.0.0', 'sum', 'O0', 'O1', 0.9994516241066043, 11.612773180007935]
['UO', 13, 'BO', 5, 'addr2line', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9770663181966678, 66.64662289619446]
['BO', 6, 'UO', 29, 'codeblocks', 'as', 'O0', 'O2', 0.9806977955216108, 93.96757888793945]
['CO', 241, 'BO', 6, 'chown', 'codeblocks', 'O2', 'O0', 0.992466188617591, 7.5712316036224365]
['BO', 5, 'CO', 22, 'libgeany.so.0.0.0', 'pwd', 'O1', 'O3', 0.9994682871249525, 4.421871185302734]
['CO', 35, 'BO', 12, 'base32', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9980260993529992, 13.92430591583252]
['BO', 5, 'UO', 77, 'libgeany.so.0.0.0', 'ar', 'O1', 'O0', 0.99608492696883, 107.45019888877869]
['CO', 384, 'BO', 5, 'head', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9916720293750236, 6.4778337478637695]
['CO', 199, 'BO', 12, 'sha224sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9975139383968559, 13.767707109451294]
['CO', 414, 'BO', 6, 'mknod', 'codeblocks', 'O0', 'O0', 0.9889273979385156, 10.494700193405151]
['CO', 320, 'BO', 5, 'dir', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9801768607221812, 18.544782161712646]
['CO', 281, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9961095430620185, 3.192544937133789]
['CO', 121, 'BO', 5, 'stdbuf', 'libgeany.so.0.0.0', 'O1', 'O1', 0.992707106772515, 5.138431787490845]
['CO', 253, 'BO', 5, 'split', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9918917894896374, 5.940976619720459]
['CO', 206, 'BO', 6, 'mknod', 'codeblocks', 'O1', 'O0', 0.9950492780197112, 4.167292833328247]
['CO', 309, 'BO', 12, 'rmdir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9981700733800575, 11.562471866607666]
['BO', 6, 'CO', 48, 'codeblocks', 'ls', 'O0', 'O3', 0.9972381843289233, 11.787779569625854]
['CO', 231, 'BO', 6, 'pr', 'codeblocks', 'O2', 'O0', 0.994269340974212, 6.490062236785889]
