['BO', 5, 'CO', 398, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O0', 0.999696912293995, 6.818029880523682]
['BO', 12, 'CO', 134, 'libgeany.so.0.0.0', 'expand', 'O0', 'O1', 0.9995245670817562, 12.024698972702026]
['CO', 345, 'BO', 5, 'chown', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9882706766917293, 12.13329553604126]
['BO', 12, 'CO', 188, 'libgeany.so.0.0.0', 'vdir', 'O0', 'O1', 0.9987692975947008, 35.275468826293945]
['BO', 12, 'CO', 307, 'libgeany.so.0.0.0', 'sort', 'O0', 'O2', 0.9992751916212151, 32.04889464378357]
['CO', 77, 'BO', 12, 'env', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9985372632194837, 14.32234263420105]
['UO', 33, 'BO', 6, 'objcopy', 'codeblocks', 'O2', 'O0', 0.9793951971538689, 72.8147509098053]
['BO', 12, 'UO', 52, 'libgeany.so.0.0.0', 'ld', 'O0', 'O3', 0.994128009395185, 234.41612339019775]
['BO', 12, 'CO', 140, 'libgeany.so.0.0.0', 'pinky', 'O0', 'O1', 0.9996710045328264, 11.66725754737854]
['CO', 234, 'BO', 5, 'kill', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9947436581092405, 3.9682865142822266]
['CO', 111, 'BO', 12, 'fmt', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9972940359088748, 14.078567028045654]
['UO', 14, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O1', 'O1', 0.976766009772514, 67.7843656539917]
['BO', 6, 'CO', 272, 'codeblocks', 'tty', 'O0', 'O2', 0.9989886917348534, 2.9465672969818115]
['UO', 9, 'BO', 12, 'strings', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9881640750852085, 154.80877423286438]
['BO', 12, 'CO', 290, 'libgeany.so.0.0.0', 'shuf', 'O0', 'O2', 0.9996349765472432, 13.98521900177002]
['BO', 6, 'CO', 370, 'codeblocks', 'df', 'O0', 'O0', 0.9986520488856937, 9.530019521713257]
['UO', 9, 'BO', 6, 'strings', 'codeblocks', 'O1', 'O0', 0.9836159706006201, 55.67357873916626]
['BO', 6, 'CO', 80, 'codeblocks', 'uname', 'O0', 'O3', 0.9991749174917491, 3.3133597373962402]
['BO', 6, 'CO', 394, 'codeblocks', 'shuf', 'O0', 'O0', 0.9990939566911299, 7.226824045181274]
['CO', 45, 'BO', 5, 'split', 'libgeany.so.0.0.0', 'O3', 'O1', 0.991469122754039, 7.155257940292358]
['CO', 215, 'BO', 6, 'fmt', 'codeblocks', 'O2', 'O0', 0.9966984592809978, 3.9543776512145996]
['UO', 73, 'BO', 12, 'objcopy', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9877377017770752, 240.77327513694763]
['CO', 387, 'BO', 12, 'mv', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9928929090615409, 48.17635536193848]
['CO', 250, 'BO', 12, 'sum', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9976588078210451, 10.477617740631104]
['CO', 23, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9898167006109979, 7.070424556732178]
['CO', 77, 'BO', 5, 'env', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9942980955639183, 4.222240447998047]
