['BO', 6, 'CO', 187, 'codeblocks', 'csplit', 'O0', 'O1', 0.9980873445967485, 7.0020129680633545]
['BO', 12, 'CO', 178, 'libgeany.so.0.0.0', 'unexpand', 'O0', 'O1', 0.9995246105463322, 12.731966495513916]
['CO', 50, 'BO', 5, 'dircolors', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9929384965831435, 6.441421031951904]
['BO', 6, 'CO', 60, 'codeblocks', 'base64', 'O0', 'O3', 0.9989937797292353, 4.972485542297363]
['BO', 5, 'CO', 232, 'libgeany.so.0.0.0', 'tee', 'O1', 'O2', 0.9992388491398996, 4.604620933532715]
['BO', 12, 'CO', 195, 'libgeany.so.0.0.0', 'comm', 'O0', 'O1', 0.9995612591861358, 12.828037738800049]
['CO', 286, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9960632791426697, 25.27981686592102]
['BO', 12, 'CO', 363, 'libgeany.so.0.0.0', 'realpath', 'O0', 'O0', 0.9997444742557813, 15.73638391494751]
['UO', 46, 'BO', 12, 'readelf', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9863133883137393, 107.49661588668823]
['BO', 6, 'CO', 106, 'codeblocks', 'stat', 'O0', 'O1', 0.9972829778562695, 8.307538509368896]
['BO', 6, 'CO', 301, 'codeblocks', 'nl', 'O0', 'O2', 0.998716008621085, 3.9758126735687256]
['CO', 167, 'BO', 12, 'logname', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9975108898568762, 12.6908438205719]
['BO', 5, 'CO', 159, 'libgeany.so.0.0.0', 'cp', 'O1', 'O1', 0.9984358124464638, 13.397446155548096]
['BO', 5, 'CO', 128, 'libgeany.so.0.0.0', 'tee', 'O1', 'O1', 0.9992398038693983, 4.679290056228638]
['UO', 83, 'BO', 12, 'diff', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9932601683155827, 54.66650605201721]
['BO', 5, 'CO', 396, 'libgeany.so.0.0.0', 'vdir', 'O1', 'O0', 0.9991893883566692, 18.091232538223267]
['CO', 171, 'BO', 6, 'nohup', 'codeblocks', 'O1', 'O0', 0.9950508660984327, 4.709362030029297]
['BO', 12, 'CO', 318, 'libgeany.so.0.0.0', 'mkdir', 'O0', 'O0', 0.9995646653364774, 25.62036395072937]
['BO', 6, 'CO', 171, 'codeblocks', 'nohup', 'O0', 'O1', 0.9985335899550912, 4.017375230789185]
['BO', 12, 'CO', 61, 'libgeany.so.0.0.0', 'cksum', 'O0', 'O3', 0.9997439929780931, 9.357435941696167]
['BO', 5, 'CO', 238, 'libgeany.so.0.0.0', 'expand', 'O1', 'O2', 0.99939087067423, 3.7866368293762207]
['CO', 33, 'BO', 6, 'chown', 'codeblocks', 'O3', 'O0', 0.993208982252807, 8.073964357376099]
['BO', 5, 'CO', 169, 'libgeany.so.0.0.0', 'false', 'O1', 'O1', 0.9993902671392096, 3.3645992279052734]
['BO', 6, 'UO', 83, 'codeblocks', 'diff', 'O0', 'O0', 0.9987633055077073, 14.814027070999146]
['CO', 157, 'BO', 6, 'chmod', 'codeblocks', 'O1', 'O0', 0.994547189530604, 7.375793695449829]
['CO', 118, 'BO', 12, 'stty', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9963844861587905, 17.186026334762573]
