['CO', 198, 'BO', 5, 'rm', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9870477051093791, 13.060001611709595]
['CO', 252, 'BO', 6, 'seq', 'codeblocks', 'O2', 'O0', 0.9969767761440154, 6.57708215713501]
['CO', 271, 'BO', 12, 'logname', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9983151417478573, 13.554769039154053]
['CO', 267, 'BO', 12, 'tsort', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9977678979819602, 17.361816883087158]
['BO', 12, 'CO', 6, 'libgeany.so.0.0.0', 'mkdir', 'O0', 'O3', 0.9997079652478645, 17.894089221954346]
['BO', 6, 'CO', 126, 'codeblocks', 'pwd', 'O0', 'O1', 0.9985343287683781, 5.965549945831299]
['BO', 5, 'CO', 403, 'libgeany.so.0.0.0', 'comm', 'O1', 'O0', 0.9997722441542666, 6.815225124359131]
['CO', 173, 'BO', 12, 'who', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9972961122478807, 23.049219608306885]
['CO', 257, 'BO', 6, 'nice', 'codeblocks', 'O2', 'O0', 0.9974270617964622, 5.243307828903198]
['UO', 66, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9874234328163691, 356.4678862094879]
['CO', 370, 'BO', 12, 'df', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9949914709831961, 46.82220816612244]
['BO', 6, 'CO', 19, 'codeblocks', 'dd', 'O0', 'O3', 0.9987348635459967, 10.01630163192749]
['CO', 363, 'BO', 12, 'realpath', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9962401211922101, 26.82617425918579]
['CO', 309, 'BO', 5, 'rmdir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9950498819587237, 5.776607513427734]
['BO', 6, 'CO', 137, 'codeblocks', 'chown', 'O0', 'O1', 0.9973708068902992, 9.793089628219604]
['BO', 5, 'CO', 349, 'libgeany.so.0.0.0', 'truncate', 'O1', 'O0', 0.9996960139833567, 5.964867115020752]
['BO', 5, 'CO', 116, 'libgeany.so.0.0.0', 'ptx', 'O1', 'O1', 0.9989427179700185, 9.340228080749512]
['BO', 5, 'CO', 39, 'libgeany.so.0.0.0', 'paste', 'O1', 'O3', 0.9993160314625528, 5.425144910812378]
['CO', 324, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9869797546473997, 13.078319072723389]
['BO', 12, 'CO', 108, 'libgeany.so.0.0.0', 'test', 'O0', 'O1', 0.9994152687936264, 15.384071111679077]
['BO', 6, 'CO', 205, 'codeblocks', 'rmdir', 'O0', 'O1', 0.9981676591846084, 5.486584424972534]
['BO', 12, 'CO', 249, 'libgeany.so.0.0.0', 'echo', 'O0', 'O2', 0.9997435850473452, 9.335635423660278]
['CO', 76, 'BO', 5, 'md5sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.992865004364492, 7.143235921859741]
['CO', 120, 'BO', 6, 'dirname', 'codeblocks', 'O1', 'O0', 0.9959607087120169, 5.317944765090942]
['CO', 3, 'BO', 5, 'unlink', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9943694122122884, 5.568719148635864]
['BO', 12, 'CO', 246, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O2', 0.9996341485722648, 12.24041748046875]
