['BO', 6, 'CO', 144, 'codeblocks', 'sync', 'O0', 'O1', 0.9984404385119948, 4.194790601730347]
['BO', 5, 'CO', 254, 'libgeany.so.0.0.0', 'whoami', 'O1', 'O2', 0.9995423690031271, 3.3047726154327393]
['BO', 12, 'CO', 219, 'libgeany.so.0.0.0', 'groups', 'O0', 'O2', 0.9997071795904174, 9.644516468048096]
['CO', 221, 'BO', 6, 'printenv', 'codeblocks', 'O2', 'O0', 0.9976087556332199, 3.6577649116516113]
['CO', 11, 'BO', 5, 'groups', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9927032265420135, 5.318916082382202]
['UO', 8, 'BO', 6, 'c++filt', 'codeblocks', 'O1', 'O0', 0.9828987730061349, 62.564653158187866]
['BO', 6, 'CO', 237, 'codeblocks', 'nproc', 'O0', 'O2', 0.9990816841911934, 3.498340368270874]
['BO', 5, 'CO', 83, 'libgeany.so.0.0.0', 'csplit', 'O1', 'O3', 0.9991685248875619, 6.539538860321045]
['CO', 91, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9978077787318, 15.975371360778809]
['BO', 5, 'CO', 406, 'libgeany.so.0.0.0', 'rm', 'O1', 'O0', 0.9991741121705834, 10.004018306732178]
['BO', 5, 'CO', 190, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O1', 0.9993168880455408, 5.1729576587677]
['BO', 6, 'UO', 28, 'codeblocks', 'readelf', 'O0', 'O2', 0.99160606690214, 29.171149492263794]
['BO', 6, 'CO', 8, 'codeblocks', 'dir', 'O0', 'O3', 0.9972381843289233, 12.224525690078735]
['BO', 12, 'CO', 279, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O2', 0.999597747385358, 10.42579197883606]
['BO', 12, 'CO', 232, 'libgeany.so.0.0.0', 'tee', 'O0', 'O2', 0.9996706975723093, 9.38866639137268]
['BO', 12, 'CO', 91, 'libgeany.so.0.0.0', 'comm', 'O0', 'O3', 0.9997077038309067, 11.226266860961914]
['BO', 6, 'CO', 85, 'codeblocks', '[', 'O0', 'O3', 0.9987216363055289, 4.657067775726318]
['CO', 368, 'BO', 5, 'cut', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9907474119297713, 6.387909650802612]
['CO', 167, 'BO', 5, 'logname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9939054584237992, 4.0923426151275635]
['CO', 100, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9976622285536866, 16.716290712356567]
['BO', 5, 'CO', 305, 'libgeany.so.0.0.0', 'uniq', 'O1', 'O2', 0.9992402659069326, 4.50936222076416]
['CO', 122, 'BO', 6, 'uptime', 'codeblocks', 'O1', 'O0', 0.9950655640334445, 5.635202646255493]
['UO', 43, 'BO', 12, 'find', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9876794533642527, 84.64630007743835]
['BO', 12, 'UO', 85, 'libgeany.so.0.0.0', 'locate', 'O0', 'O0', 0.9994607323255019, 38.2227303981781]
['CO', 299, 'BO', 6, 'comm', 'codeblocks', 'O2', 'O0', 0.9964246424642464, 4.300692558288574]
['BO', 12, 'CO', 383, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O0', 0.9997808819501507, 12.773389101028442]
