['CO', 343, 'BO', 5, 'date', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9877975293763182, 13.047488689422607]
['CO', 297, 'BO', 5, 'pathchk', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9952729490698383, 5.048691272735596]
['CO', 78, 'BO', 5, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9906556141672946, 11.40807032585144]
['BO', 6, 'CO', 100, 'codeblocks', 'tac', 'O0', 'O3', 0.9989042596904534, 6.105150461196899]
['UO', 52, 'BO', 12, 'ld', 'libgeany.so.0.0.0', 'O3', 'O0', 0.985776733868337, 342.77386021614075]
['UO', 33, 'BO', 5, 'objcopy', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9706190975865687, 98.54684686660767]
['CO', 200, 'BO', 12, 'fold', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9970735097763064, 16.647690534591675]
['BO', 6, 'UO', 76, 'codeblocks', 'addr2line', 'O0', 'O0', 0.995491846581904, 97.8846070766449]
['CO', 23, 'BO', 6, 'pr', 'codeblocks', 'O3', 'O0', 0.994013333938047, 8.774691104888916]
['BO', 12, 'CO', 105, 'libgeany.so.0.0.0', 'touch', 'O0', 'O1', 0.9994166438793182, 18.30169439315796]
['CO', 149, 'BO', 12, 'split', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9967887313664313, 24.04226326942444]
['BO', 12, 'CO', 26, 'libgeany.so.0.0.0', 'kill', 'O0', 'O3', 0.9998171679312552, 10.373586893081665]
['CO', 114, 'BO', 6, 'users', 'codeblocks', 'O1', 'O0', 0.9960581198148233, 4.937280178070068]
['CO', 0, 'BO', 6, 'sha384sum', 'codeblocks', 'O3', 'O0', 0.9967103760222964, 5.651432514190674]
['CO', 133, 'BO', 5, 'nproc', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9929221051029339, 5.235895156860352]
['CO', 369, 'BO', 5, 'od', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9888997961187043, 9.39359974861145]
['CO', 281, 'BO', 12, 'hostid', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9982052268190392, 10.457954168319702]
['CO', 389, 'BO', 6, 'env', 'codeblocks', 'O0', 'O0', 0.9958840208542943, 6.023374557495117]
['BO', 5, 'CO', 214, 'libgeany.so.0.0.0', 'mkdir', 'O1', 'O2', 0.9990886998784934, 5.0703089237213135]
['BO', 12, 'UO', 35, 'libgeany.so.0.0.0', 'gprof', 'O0', 'O2', 0.9951360389116887, 158.81637120246887]
['BO', 12, 'CO', 382, 'libgeany.so.0.0.0', 'b2sum', 'O0', 'O0', 0.9998176413735251, 14.927495002746582]
['CO', 34, 'BO', 5, 'tail', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9922384235710787, 8.469209671020508]
['CO', 125, 'BO', 5, 'mktemp', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9915009864926393, 5.905484676361084]
['UO', 87, 'BO', 6, 'find', 'codeblocks', 'O0', 'O0', 0.9840630904460692, 36.48797821998596]
['BO', 12, 'CO', 144, 'libgeany.so.0.0.0', 'sync', 'O0', 'O1', 0.9997072331704818, 9.239078998565674]
['CO', 39, 'BO', 6, 'paste', 'codeblocks', 'O3', 'O0', 0.9964305326743548, 4.865821599960327]
