['BO', 12, 'CO', 10, 'libgeany.so.0.0.0', 'users', 'O0', 'O3', 0.9997806255827133, 11.701086282730103]
['CO', 374, 'BO', 12, 'printf', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9972965567631747, 21.027860164642334]
['UO', 25, 'BO', 5, 'sdiff', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9924325551477544, 8.335479974746704]
['BO', 6, 'UO', 23, 'codeblocks', 'cmp', 'O0', 'O2', 0.9992685714285714, 5.4047629833221436]
['BO', 6, 'CO', 40, 'codeblocks', 'sync', 'O0', 'O3', 0.9991755599322127, 4.441670656204224]
['CO', 229, 'BO', 6, 'mktemp', 'codeblocks', 'O2', 'O0', 0.9967978042086002, 6.508588075637817]
['UO', 26, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9866915634017993, 203.51764822006226]
['CO', 229, 'BO', 5, 'mktemp', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9941500474833809, 5.659491062164307]
['CO', 376, 'BO', 5, 'tty', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9933774834437086, 4.932656526565552]
['UO', 82, 'BO', 6, 'cmp', 'codeblocks', 'O0', 'O0', 0.9940712363752451, 6.955214023590088]
['UO', 22, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9976276506441841, 19.78075861930847]
['BO', 12, 'CO', 200, 'libgeany.so.0.0.0', 'fold', 'O0', 'O1', 0.9996707698498345, 10.535400867462158]
['CO', 253, 'BO', 12, 'split', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9974077184271057, 18.959460496902466]
['CO', 34, 'BO', 12, 'tail', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9974147034191457, 24.308506727218628]
['BO', 5, 'CO', 106, 'libgeany.so.0.0.0', 'stat', 'O1', 'O1', 0.998794636130782, 8.50258994102478]
['UO', 73, 'BO', 5, 'objcopy', 'libgeany.so.0.0.0', 'O0', 'O1', 0.968813876073118, 117.5927505493164]
['CO', 234, 'BO', 6, 'kill', 'codeblocks', 'O2', 'O0', 0.9975216852540273, 3.9789345264434814]
['CO', 140, 'BO', 12, 'pinky', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9972949261587951, 15.82979965209961]
['BO', 12, 'CO', 164, 'libgeany.so.0.0.0', 'base64', 'O0', 'O1', 0.9996343158048709, 10.598353147506714]
['CO', 99, 'BO', 6, 'sort', 'codeblocks', 'O3', 'O0', 0.9900253818408514, 13.658711910247803]
['UO', 78, 'BO', 6, 'elfedit', 'codeblocks', 'O0', 'O0', 0.9904096451568708, 4.71171760559082]
['CO', 294, 'BO', 12, 'timeout', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9978794193996563, 14.286223888397217]
['CO', 328, 'BO', 6, 'dirname', 'codeblocks', 'O0', 'O0', 0.9962402567629528, 4.580261707305908]
['BO', 6, 'CO', 138, 'codeblocks', 'tail', 'O0', 'O1', 0.9970969790438174, 6.9579620361328125]
['CO', 49, 'BO', 12, 'nice', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9981709436101915, 12.30982518196106]
['BO', 5, 'CO', 223, 'libgeany.so.0.0.0', 'join', 'O1', 'O2', 0.999012945598117, 4.700453281402588]
