['BO', 12, 'CO', 199, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O1', 0.999524723517046, 14.9299635887146]
['CO', 268, 'BO', 12, 'base64', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9979505946935041, 15.613169193267822]
['BO', 5, 'CO', 203, 'libgeany.so.0.0.0', 'sort', 'O1', 'O1', 0.998584519108992, 16.49899196624756]
['CO', 268, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9945935655815724, 5.68733811378479]
['CO', 412, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O0', 'O0', 0.996677012963301, 24.679330110549927]
['CO', 357, 'BO', 12, 'split', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9959570942069895, 32.25542950630188]
['CO', 361, 'BO', 6, 'nice', 'codeblocks', 'O0', 'O0', 0.9956936045446216, 6.9760401248931885]
['BO', 5, 'CO', 151, 'libgeany.so.0.0.0', 'numfmt', 'O1', 'O1', 0.9991658451505271, 6.8958868980407715]
['UO', 71, 'BO', 6, 'c++filt', 'codeblocks', 'O0', 'O0', 0.9835614505432482, 116.01119875907898]
['CO', 324, 'BO', 12, 'ptx', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9953783729689405, 33.01033067703247]
['CO', 399, 'BO', 6, 'id', 'codeblocks', 'O0', 'O0', 0.9946162971074003, 8.745015621185303]
['CO', 255, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9975880278473148, 18.855276584625244]
['BO', 5, 'UO', 54, 'libgeany.so.0.0.0', 'addr2line', 'O1', 'O3', 0.9989465367395312, 73.9740686416626]
['CO', 396, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9801768607221812, 23.6633939743042]
['BO', 6, 'CO', 345, 'codeblocks', 'chown', 'O0', 'O0', 0.9987350350124238, 9.258610486984253]
['CO', 224, 'BO', 6, 'dirname', 'codeblocks', 'O2', 'O0', 0.9974257607796267, 4.1759772300720215]
['BO', 6, 'CO', 125, 'codeblocks', 'mktemp', 'O0', 'O1', 0.9985382120506144, 5.990675210952759]
['BO', 12, 'CO', 293, 'libgeany.so.0.0.0', '[', 'O0', 'O2', 0.9996343759711889, 11.888091325759888]
['CO', 145, 'BO', 5, 'echo', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9935997561811879, 4.918850421905518]
['CO', 264, 'BO', 6, 'cut', 'codeblocks', 'O2', 'O0', 0.9974336648182943, 5.534967422485352]
['BO', 5, 'CO', 388, 'libgeany.so.0.0.0', 'md5sum', 'O1', 'O0', 0.9994691540590755, 6.203273057937622]
['UO', 62, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9971924451250638, 23.582067251205444]
['CO', 151, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9971146295586114, 19.657432556152344]
['BO', 5, 'CO', 207, 'libgeany.so.0.0.0', 'ln', 'O1', 'O1', 0.9989462592202318, 9.664891242980957]
['BO', 12, 'CO', 145, 'libgeany.so.0.0.0', 'echo', 'O0', 'O1', 0.9996705348317897, 9.565319776535034]
