['BO', 5, 'CO', 342, 'libgeany.so.0.0.0', 'expand', 'O1', 'O0', 0.999696210222526, 6.521421909332275]
['BO', 5, 'UO', 4, 'libgeany.so.0.0.0', 'strip', 'O1', 'O1', 0.99734194038352, 107.71102619171143]
['CO', 409, 'BO', 12, 'uniq', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9967870899432264, 27.07042169570923]
['CO', 370, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9870513828075297, 17.739999771118164]
['CO', 94, 'BO', 5, 'rm', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9905916001806413, 12.504469394683838]
['BO', 6, 'CO', 109, 'codeblocks', 'basename', 'O0', 'O1', 0.998348320792806, 4.989088773727417]
['BO', 12, 'CO', 345, 'libgeany.so.0.0.0', 'chown', 'O0', 'O0', 0.9996726379921796, 27.830195903778076]
['CO', 52, 'BO', 12, 'sha256sum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.997880620466629, 21.002066135406494]
['UO', 51, 'BO', 5, 'objcopy', 'libgeany.so.0.0.0', 'O3', 'O1', 0.970583553532202, 110.26707339286804]
['BO', 6, 'CO', 397, 'codeblocks', '[', 'O0', 'O0', 0.9991789070340298, 7.046116590499878]
['CO', 117, 'BO', 12, 'printenv', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9975105709212718, 15.66922402381897]
['BO', 6, 'CO', 5, 'codeblocks', 'basename', 'O0', 'O3', 0.999083493721932, 4.774636507034302]
['CO', 381, 'BO', 12, 'who', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9969701394465942, 27.16415500640869]
['UO', 42, 'BO', 6, 'xargs', 'codeblocks', 'O2', 'O0', 0.988312570781427, 11.462562561035156]
['UO', 31, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O2', 'O1', 0.971231073074391, 89.50988936424255]
['CO', 315, 'BO', 6, 'unlink', 'codeblocks', 'O0', 'O0', 0.9961482024944974, 6.345739126205444]
['BO', 6, 'CO', 54, 'codeblocks', 'true', 'O0', 'O3', 0.9993577981651376, 4.250247478485107]
['UO', 6, 'BO', 6, 'as', 'codeblocks', 'O1', 'O0', 0.9821809425524596, 126.98292469978333]
['UO', 75, 'BO', 5, 'gprof', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9705917729131586, 142.70239663124084]
['BO', 6, 'CO', 194, 'codeblocks', 'tr', 'O0', 'O1', 0.9984456432294048, 5.810087203979492]
['CO', 18, 'BO', 6, 'uptime', 'codeblocks', 'O3', 'O0', 0.9971711456859972, 7.849121809005737]
['CO', 414, 'BO', 12, 'mknod', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9942252165543792, 42.991172075271606]
['BO', 6, 'CO', 413, 'codeblocks', 'rmdir', 'O0', 'O0', 0.9994506249141601, 5.247013568878174]
['BO', 6, 'CO', 391, 'codeblocks', 'link', 'O0', 'O0', 0.9995414526779164, 4.501261949539185]
['CO', 300, 'BO', 5, 'sha512sum', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9943704830734119, 6.077649831771851]
