['CO', 341, 'BO', 5, 'nproc', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9924726277372263, 7.50152587890625]
['BO', 5, 'CO', 140, 'libgeany.so.0.0.0', 'pinky', 'O1', 'O1', 0.999240323622137, 6.7470481395721436]
['CO', 186, 'BO', 6, 'shuf', 'codeblocks', 'O1', 'O0', 0.9941783781325328, 10.571837425231934]
['CO', 184, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9972914607810841, 16.611084699630737]
['CO', 310, 'BO', 12, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9979864911863228, 15.225027561187744]
['CO', 157, 'BO', 12, 'chmod', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9968281167398874, 30.04083275794983]
['CO', 96, 'BO', 5, 'fold', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9936162936504921, 6.9725401401519775]
['UO', 68, 'BO', 12, 'readelf', 'libgeany.so.0.0.0', 'O0', 'O0', 0.985249517507582, 181.3421652317047]
['BO', 12, 'CO', 360, 'libgeany.so.0.0.0', 'ls', 'O0', 'O0', 0.9997118415128321, 51.388869285583496]
['BO', 12, 'CO', 179, 'libgeany.so.0.0.0', 'mv', 'O0', 'O1', 0.9984833986314479, 44.973671197891235]
['CO', 214, 'BO', 5, 'mkdir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9936968408262454, 7.4247190952301025]
['BO', 12, 'CO', 274, 'libgeany.so.0.0.0', 'runcon', 'O0', 'O2', 0.9997435709575793, 8.990689754486084]
['BO', 6, 'UO', 6, 'codeblocks', 'as', 'O0', 'O1', 0.9831441348469212, 121.46122717857361]
['BO', 5, 'CO', 197, 'libgeany.so.0.0.0', 'nl', 'O1', 'O1', 0.9991637524707313, 5.542799949645996]
['BO', 5, 'CO', 64, 'libgeany.so.0.0.0', 'tty', 'O1', 'O3', 0.999391102485063, 4.565494537353516]
['CO', 283, 'BO', 6, 'mv', 'codeblocks', 'O2', 'O0', 0.9896036964634797, 20.22017240524292]
['CO', 179, 'BO', 6, 'mv', 'codeblocks', 'O1', 'O0', 0.9893508452766562, 19.767728805541992]
['CO', 215, 'BO', 12, 'fmt', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9978777123202459, 15.261828899383545]
['CO', 341, 'BO', 6, 'nproc', 'codeblocks', 'O0', 'O0', 0.9957873529007738, 6.578774929046631]
['BO', 6, 'CO', 74, 'codeblocks', 'unexpand', 'O0', 'O3', 0.9988110481068228, 5.065743923187256]
['CO', 238, 'BO', 6, 'expand', 'codeblocks', 'O2', 'O0', 0.9957802036510411, 5.412909746170044]
['UO', 29, 'BO', 5, 'as', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9746919146378118, 126.20746302604675]
['CO', 10, 'BO', 12, 'users', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9977331310213707, 15.929111957550049]
['BO', 5, 'UO', 16, 'libgeany.so.0.0.0', 'size', 'O1', 'O1', 0.9965377580350143, 77.16993570327759]
['CO', 66, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9980239685298692, 12.489280462265015]
