['BO', 12, 'CO', 111, 'libgeany.so.0.0.0', 'fmt', 'O0', 'O1', 0.9995611950122499, 10.75154709815979]
['BO', 12, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O3', 0.9997441707477523, 10.708471775054932]
['CO', 319, 'BO', 6, 'fmt', 'codeblocks', 'O0', 'O0', 0.9946990814787735, 5.76992392539978]
['BO', 6, 'CO', 399, 'codeblocks', 'id', 'O0', 'O0', 0.9995437539921526, 5.1386542320251465]
['CO', 146, 'BO', 5, 'sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9924017931768103, 5.495309114456177]
['CO', 165, 'BO', 6, 'cksum', 'codeblocks', 'O1', 'O0', 0.9960557695835627, 4.153638601303101]
['CO', 210, 'BO', 12, 'stat', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9962119832453105, 23.80683159828186]
['BO', 6, 'CO', 90, 'codeblocks', 'tr', 'O0', 'O3', 0.9990867996895119, 4.602136135101318]
['CO', 92, 'BO', 12, 'sha512sum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9978442369877779, 15.246504306793213]
['CO', 145, 'BO', 12, 'echo', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9974741003770545, 11.674586057662964]
['BO', 6, 'CO', 275, 'codeblocks', 'nohup', 'O0', 'O2', 0.9988985773290501, 3.4845693111419678]
['UO', 79, 'BO', 12, 'size', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9873372278972619, 237.12366604804993]
['BO', 6, 'CO', 156, 'codeblocks', 'sha256sum', 'O0', 'O1', 0.9985358041638069, 4.464556932449341]
['BO', 5, 'CO', 18, 'libgeany.so.0.0.0', 'uptime', 'O1', 'O3', 0.9992419073610795, 5.068525791168213]
['BO', 6, 'CO', 35, 'codeblocks', 'base32', 'O0', 'O3', 0.9989937797292353, 4.026516437530518]
['CO', 273, 'BO', 6, 'false', 'codeblocks', 'O2', 'O0', 0.9977001977829907, 2.9878060817718506]
['CO', 279, 'BO', 6, 'readlink', 'codeblocks', 'O2', 'O0', 0.9952385312700303, 4.611268520355225]
['UO', 37, 'BO', 6, 'ar', 'codeblocks', 'O2', 'O0', 0.9802779364172853, 59.34570550918579]
['BO', 12, 'CO', 379, 'libgeany.so.0.0.0', 'nohup', 'O0', 'O0', 0.9998537370191605, 10.239194393157959]
['CO', 220, 'BO', 6, 'ptx', 'codeblocks', 'O2', 'O0', 0.9960896648933751, 6.658229351043701]
['CO', 3, 'BO', 12, 'unlink', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9979879275653923, 10.255901336669922]
['BO', 12, 'CO', 16, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O3', 0.999817050859861, 8.282851934432983]
['UO', 61, 'BO', 6, 'find', 'codeblocks', 'O3', 'O0', 0.9779782323296489, 25.813109397888184]
['CO', 140, 'BO', 5, 'pinky', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9918714627568656, 5.312437295913696]
['CO', 78, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9965771506599909, 22.344943046569824]
