['CO', 98, 'BO', 6, 'sleep', 'codeblocks', 'O3', 'O0', 0.9978007880509484, 5.948601722717285]
['CO', 136, 'BO', 5, 'expr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9912104565258572, 8.76259708404541]
['BO', 12, 'CO', 25, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O3', 0.9995266186002476, 22.82545256614685]
['CO', 120, 'BO', 5, 'dirname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9936002438002361, 5.6311047077178955]
['CO', 356, 'BO', 12, 'seq', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9973692864189412, 22.576674938201904]
['CO', 213, 'BO', 12, 'basename', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9980591057238071, 13.569628715515137]
['BO', 5, 'CO', 229, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O2', 0.9992402659069326, 6.19425892829895]
['BO', 6, 'UO', 73, 'codeblocks', 'objcopy', 'O0', 'O0', 0.9942916624693596, 135.3801085948944]
['CO', 151, 'BO', 6, 'numfmt', 'codeblocks', 'O1', 'O0', 0.9957095257656671, 8.164318561553955]
['CO', 38, 'BO', 12, 'sha1sum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9979170473232231, 19.135438919067383]
['CO', 138, 'BO', 12, 'tail', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9963931798309531, 30.67073369026184]
['CO', 334, 'BO', 5, 'pwd', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9924809174799681, 7.498980522155762]
['BO', 12, 'CO', 156, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O1', 0.999524723517046, 14.17566442489624]
['CO', 286, 'BO', 6, 'chcon', 'codeblocks', 'O2', 'O0', 0.9922790444182032, 10.02892518043518]
['CO', 261, 'BO', 12, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9963520291837665, 25.35637331008911]
['CO', 391, 'BO', 6, 'link', 'codeblocks', 'O0', 'O0', 0.9964233308877476, 5.98125958442688]
['BO', 12, 'CO', 177, 'libgeany.so.0.0.0', 'hostid', 'O0', 'O1', 0.9997071581529, 10.925587892532349]
['BO', 5, 'CO', 273, 'libgeany.so.0.0.0', 'false', 'O1', 'O2', 0.9996184079981684, 3.3204753398895264]
['BO', 5, 'CO', 130, 'libgeany.so.0.0.0', 'kill', 'O1', 'O1', 0.9993152248345126, 4.810585975646973]
['BO', 12, 'UO', 71, 'libgeany.so.0.0.0', 'c++filt', 'O0', 'O0', 0.997646981927514, 263.64855098724365]
['CO', 342, 'BO', 6, 'expand', 'codeblocks', 'O0', 'O0', 0.9950615025835657, 6.021764755249023]
['BO', 6, 'CO', 37, 'codeblocks', 'truncate', 'O0', 'O3', 0.9991758996428899, 4.277983903884888]
['BO', 6, 'UO', 52, 'codeblocks', 'ld', 'O0', 'O3', 0.982430248084897, 97.08483791351318]
['CO', 30, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9935429960498329, 5.398993253707886]
['CO', 206, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9922374429223745, 4.959578514099121]
['BO', 5, 'CO', 94, 'libgeany.so.0.0.0', 'rm', 'O1', 'O3', 0.9986451904260123, 8.39085078239441]
