['BO', 5, 'UO', 19, 'libgeany.so.0.0.0', 'cmp', 'O1', 'O1', 0.9993166805861362, 6.609723329544067]
['CO', 141, 'BO', 12, 'truncate', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9974753942409718, 18.4808030128479]
['CO', 37, 'BO', 6, 'truncate', 'codeblocks', 'O3', 'O0', 0.9976192656350151, 6.611233711242676]
['UO', 56, 'BO', 6, 'elfedit', 'codeblocks', 'O3', 'O0', 0.9919487648673376, 6.166516065597534]
['CO', 113, 'BO', 6, 'du', 'codeblocks', 'O1', 'O0', 0.9921987087517934, 17.83811593055725]
['BO', 5, 'CO', 251, 'libgeany.so.0.0.0', 'chroot', 'O1', 'O2', 0.9994676198805947, 5.6789915561676025]
['BO', 12, 'CO', 118, 'libgeany.so.0.0.0', 'stty', 'O0', 'O1', 0.9995617558980352, 17.646381855010986]
['BO', 6, 'CO', 368, 'codeblocks', 'cut', 'O0', 'O0', 0.9995435040628139, 6.846574068069458]
['BO', 5, 'CO', 240, 'libgeany.so.0.0.0', 'expr', 'O1', 'O2', 0.9995447302526748, 6.586698293685913]
['UO', 36, 'BO', 12, 'addr2line', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9873861009111927, 223.25419521331787]
['CO', 275, 'BO', 5, 'nohup', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9950485621786327, 5.5130228996276855]
['CO', 112, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9950047961196677, 53.48931574821472]
['BO', 12, 'CO', 397, 'libgeany.so.0.0.0', '[', 'O0', 'O0', 0.999780909953991, 16.72515368461609]
['BO', 6, 'UO', 17, 'codeblocks', 'objdump', 'O0', 'O1', 0.9827866302582006, 123.23090171813965]
['CO', 56, 'BO', 12, 'cut', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9975517959586363, 19.322839498519897]
['BO', 5, 'CO', 320, 'libgeany.so.0.0.0', 'dir', 'O1', 'O0', 0.9991893883566692, 21.23251748085022]
['BO', 5, 'CO', 156, 'libgeany.so.0.0.0', 'sha256sum', 'O1', 'O1', 0.9993161094224924, 5.648331165313721]
['BO', 6, 'CO', 193, 'codeblocks', 'pathchk', 'O0', 'O1', 0.9985319080607423, 4.464950799942017]
['BO', 12, 'CO', 333, 'libgeany.so.0.0.0', 'mktemp', 'O0', 'O0', 0.9998174516246805, 16.564698934555054]
['CO', 19, 'BO', 5, 'dd', 'libgeany.so.0.0.0', 'O3', 'O1', 0.991126818814152, 11.69518756866455]
['CO', 346, 'BO', 5, 'tail', 'libgeany.so.0.0.0', 'O0', 'O1', 0.985752849430114, 13.865996599197388]
['CO', 143, 'BO', 6, 'paste', 'codeblocks', 'O1', 'O0', 0.9964257893048618, 5.511472463607788]
['BO', 6, 'CO', 121, 'codeblocks', 'stdbuf', 'O0', 'O1', 0.9978958924160644, 5.473221063613892]
['UO', 59, 'BO', 12, 'locate', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9924367163044855, 43.28893971443176]
['UO', 17, 'BO', 5, 'objdump', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9789196310935442, 125.46020817756653]
