['BO', 5, 'CO', 34, 'libgeany.so.0.0.0', 'tail', 'O1', 'O3', 0.9990203835575148, 9.360973834991455]
['BO', 12, 'CO', 98, 'libgeany.so.0.0.0', 'sleep', 'O0', 'O3', 0.9998536835174482, 11.45888066291809]
['CO', 328, 'BO', 5, 'dirname', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9929971455756422, 6.285231113433838]
['UO', 83, 'BO', 6, 'diff', 'codeblocks', 'O0', 'O0', 0.9856013426968774, 24.27070713043213]
['CO', 182, 'BO', 5, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9878669128452466, 11.37132477760315]
['BO', 5, 'UO', 57, 'libgeany.so.0.0.0', 'size', 'O1', 'O3', 0.9988811741090526, 76.90701341629028]
['BO', 6, 'UO', 30, 'codeblocks', 'ranlib', 'O0', 'O2', 0.986521987435751, 74.4474503993988]
['BO', 5, 'CO', 198, 'libgeany.so.0.0.0', 'rm', 'O1', 'O1', 0.9986445272788885, 9.672806024551392]
['CO', 45, 'BO', 6, 'split', 'codeblocks', 'O3', 'O0', 0.9958233077586598, 9.701786756515503]
['CO', 34, 'BO', 6, 'tail', 'codeblocks', 'O3', 'O0', 0.9961043667331039, 10.168007135391235]
['CO', 238, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9975115274829832, 15.54450535774231]
['BO', 12, 'CO', 404, 'libgeany.so.0.0.0', 'sha512sum', 'O0', 'O0', 0.9998539373025871, 15.22262167930603]
['BO', 6, 'CO', 41, 'codeblocks', 'echo', 'O0', 'O3', 0.9991746148202495, 4.066190242767334]
['CO', 141, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O1', 'O1', 0.99284545419949, 5.702683210372925]
['BO', 5, 'CO', 25, 'libgeany.so.0.0.0', 'chgrp', 'O1', 'O3', 0.9987942273635028, 8.708914756774902]
['BO', 6, 'CO', 300, 'codeblocks', 'sha512sum', 'O0', 'O2', 0.9988087056128293, 4.696455955505371]
['UO', 49, 'BO', 12, 'c++filt', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9852134509897448, 196.5820906162262]
['BO', 6, 'CO', 204, 'codeblocks', 'tac', 'O0', 'O1', 0.9986275675922961, 4.865239381790161]
['CO', 197, 'BO', 6, 'nl', 'codeblocks', 'O1', 'O0', 0.9958796868562011, 5.2446630001068115]
['CO', 221, 'BO', 5, 'printenv', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9954980733279921, 3.496044635772705]
['CO', 298, 'BO', 6, 'tr', 'codeblocks', 'O2', 'O0', 0.9965204651588683, 5.18621563911438]
['CO', 159, 'BO', 12, 'cp', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9954377579839235, 43.0173978805542]
['BO', 5, 'CO', 291, 'libgeany.so.0.0.0', 'csplit', 'O1', 'O2', 0.9990147783251232, 5.526887655258179]
['UO', 48, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9865201266701664, 182.1918544769287]
['CO', 390, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9950593962291568, 30.75203847885132]
['UO', 8, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9769520379767556, 63.22130107879639]
['CO', 188, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9852612773559625, 14.224401235580444]
