['BO', 6, 'UO', 46, 'codeblocks', 'readelf', 'O0', 'O3', 0.991632145816073, 40.21995806694031]
['CO', 61, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.993840538382571, 6.525792837142944]
['BO', 6, 'CO', 23, 'codeblocks', 'pr', 'O0', 'O3', 0.9986393940768289, 8.850168704986572]
['BO', 6, 'UO', 53, 'codeblocks', 'gprof', 'O0', 'O3', 0.9884344683279437, 81.56142950057983]
['CO', 244, 'BO', 5, 'pinky', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9937628356278999, 6.885967016220093]
['BO', 6, 'CO', 223, 'codeblocks', 'join', 'O0', 'O2', 0.9982629365514719, 6.232141494750977]
['CO', 265, 'BO', 5, 'od', 'libgeany.so.0.0.0', 'O2', 'O1', 0.990987920784581, 9.212413311004639]
['BO', 6, 'CO', 43, 'codeblocks', 'chroot', 'O0', 'O3', 0.9992691060253072, 6.201730966567993]
['BO', 12, 'CO', 237, 'libgeany.so.0.0.0', 'nproc', 'O0', 'O2', 0.999670504677003, 11.142829418182373]
['UO', 41, 'BO', 12, 'locate', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9915396713487716, 54.60951209068298]
['CO', 49, 'BO', 5, 'nice', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9940657334144857, 6.125243425369263]
['BO', 12, 'UO', 55, 'libgeany.so.0.0.0', 'ar', 'O0', 'O3', 0.9958002404701021, 197.51806211471558]
['BO', 5, 'UO', 59, 'libgeany.so.0.0.0', 'locate', 'O1', 'O3', 0.9995536046425118, 15.733670949935913]
['CO', 170, 'BO', 5, 'runcon', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9936752267012117, 5.876203775405884]
['CO', 201, 'BO', 12, 'uniq', 'libgeany.so.0.0.0', 'O1', 'O0', 0.996711968434897, 23.231698989868164]
['BO', 6, 'CO', 175, 'codeblocks', 'readlink', 'O0', 'O1', 0.9977142857142857, 6.289214611053467]
['CO', 395, 'BO', 12, 'csplit', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9955927881988709, 33.458441972732544]
['BO', 12, 'CO', 223, 'libgeany.so.0.0.0', 'join', 'O0', 'O2', 0.9996345429960165, 14.893027305603027]
['BO', 12, 'CO', 329, 'libgeany.so.0.0.0', 'stdbuf', 'O0', 'O0', 0.9997442735542322, 15.665512323379517]
['BO', 6, 'UO', 74, 'codeblocks', 'ld', 'O0', 'O0', 0.9935764937831908, 160.4739067554474]
['BO', 6, 'UO', 66, 'codeblocks', 'nm', 'O0', 'O0', 0.9953739398612182, 118.43713283538818]
['BO', 6, 'CO', 396, 'codeblocks', 'vdir', 'O0', 'O0', 0.9984123484013231, 19.533700704574585]
['BO', 12, 'CO', 332, 'libgeany.so.0.0.0', 'mkfifo', 'O0', 'O0', 0.9995640089378168, 27.947830200195312]
['BO', 6, 'CO', 206, 'codeblocks', 'mknod', 'O0', 'O1', 0.9982580793032317, 4.794376850128174]
['BO', 6, 'CO', 252, 'codeblocks', 'seq', 'O0', 'O2', 0.9987174201823096, 5.059870958328247]
