['BO', 6, 'CO', 241, 'codeblocks', 'chown', 'O0', 'O2', 0.9974584732685849, 9.661959409713745]
['CO', 144, 'BO', 5, 'sync', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9942130510926673, 6.407677412033081]
['CO', 184, 'BO', 5, 'uname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.99329702555509, 6.149745464324951]
['CO', 42, 'BO', 5, 'sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9926403641881639, 8.050734519958496]
['BO', 5, 'CO', 179, 'libgeany.so.0.0.0', 'mv', 'O1', 'O1', 0.9982223538997111, 20.718274354934692]
['CO', 21, 'BO', 6, 'mktemp', 'codeblocks', 'O3', 'O0', 0.9967159277504105, 8.986615419387817]
['BO', 12, 'CO', 251, 'libgeany.so.0.0.0', 'chroot', 'O0', 'O2', 0.9996708240371603, 14.07721471786499]
['BO', 5, 'CO', 23, 'libgeany.so.0.0.0', 'pr', 'O1', 'O3', 0.9990948178320888, 9.550350427627563]
['CO', 187, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9926581895246746, 10.110961437225342]
['CO', 28, 'BO', 5, 'factor', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9904776299879081, 10.276952743530273]
['BO', 6, 'UO', 18, 'codeblocks', 'diff3', 'O0', 'O1', 0.9987264622941872, 8.601071834564209]
['CO', 342, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9914179387863599, 8.2475266456604]
['CO', 280, 'BO', 12, 'head', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9972577696526508, 19.36516809463501]
['CO', 272, 'BO', 5, 'tty', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9961859720050346, 4.984646320343018]
['BO', 5, 'UO', 50, 'libgeany.so.0.0.0', 'strings', 'O1', 'O3', 0.9990116623838703, 90.49650359153748]
['CO', 382, 'BO', 6, 'b2sum', 'codeblocks', 'O0', 'O0', 0.9930868240323828, 10.92234492301941]
['CO', 24, 'BO', 6, 'tee', 'codeblocks', 'O3', 'O0', 0.9968013160299762, 7.735885143280029]
['BO', 5, 'UO', 65, 'libgeany.so.0.0.0', 'sdiff', 'O1', 'O3', 0.9990169760671481, 8.76027250289917]
['CO', 209, 'BO', 12, 'touch', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9970452514272166, 28.63892126083374]
['CO', 223, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9971494353689289, 20.74925184249878]
['CO', 266, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9892420537897311, 13.859917879104614]
['CO', 170, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.997473961670114, 16.152233123779297]
['CO', 1, 'BO', 6, 'touch', 'codeblocks', 'O3', 'O0', 0.9959170711790591, 11.89375615119934]
['BO', 12, 'CO', 137, 'libgeany.so.0.0.0', 'chown', 'O0', 'O1', 0.9992715352394828, 24.580192804336548]
['CO', 31, 'BO', 12, 'date', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9966848816029144, 30.114147901535034]
