['BO', 6, 'CO', 390, 'codeblocks', 'chcon', 'O0', 'O0', 0.9988290398126464, 9.456486463546753]
['BO', 12, 'UO', 45, 'libgeany.so.0.0.0', 'strip', 'O0', 'O3', 0.9949829420028096, 172.63921403884888]
['BO', 12, 'CO', 398, 'libgeany.so.0.0.0', 'timeout', 'O0', 'O0', 0.9998174516246805, 13.518771648406982]
['BO', 12, 'CO', 175, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O1', 0.99945180447693, 11.616204261779785]
['CO', 196, 'BO', 12, 'sha512sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9972580202906498, 15.613270998001099]
['BO', 5, 'CO', 265, 'libgeany.so.0.0.0', 'od', 'O1', 'O2', 0.9992426824188724, 5.677433729171753]
['BO', 12, 'CO', 339, 'libgeany.so.0.0.0', 'wc', 'O0', 'O0', 0.9997809939225814, 14.15100622177124]
['BO', 6, 'CO', 321, 'codeblocks', 'du', 'O0', 'O0', 0.9983065953654189, 12.151342630386353]
['BO', 5, 'UO', 28, 'libgeany.so.0.0.0', 'readelf', 'O1', 'O2', 0.9985278654048371, 32.45907282829285]
['CO', 382, 'BO', 12, 'b2sum', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9962434122946185, 21.73309350013733]
['BO', 5, 'CO', 110, 'libgeany.so.0.0.0', 'mkdir', 'O1', 'O1', 0.9991656869809246, 5.351996183395386]
['BO', 5, 'CO', 385, 'libgeany.so.0.0.0', 'hostid', 'O1', 'O0', 0.9997716199756395, 3.772397756576538]
['BO', 5, 'CO', 200, 'libgeany.so.0.0.0', 'fold', 'O1', 'O1', 0.9992391965916008, 4.067374229431152]
['BO', 12, 'CO', 88, 'libgeany.so.0.0.0', 'shred', 'O0', 'O3', 0.9994535021404499, 16.773322105407715]
['CO', 237, 'BO', 12, 'nproc', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9980230280620184, 11.143531322479248]
['CO', 276, 'BO', 6, 'yes', 'codeblocks', 'O2', 'O0', 0.9971504733890982, 3.3449933528900146]
['BO', 6, 'CO', 4, 'codeblocks', 'test', 'O0', 'O3', 0.9986290101453249, 4.1647138595581055]
['CO', 185, 'BO', 6, 'cat', 'codeblocks', 'O1', 'O0', 0.9950492780197112, 4.285598993301392]
['BO', 12, 'CO', 38, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O3', 0.9996711127352458, 10.704747676849365]
['CO', 314, 'BO', 12, 'stat', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9956395348837209, 29.013485431671143]
['BO', 6, 'CO', 209, 'codeblocks', 'touch', 'O0', 'O2', 0.9982709195977613, 5.953129529953003]
['UO', 25, 'BO', 6, 'sdiff', 'codeblocks', 'O2', 'O0', 0.9959934438171554, 6.772367000579834]
['BO', 6, 'CO', 129, 'codeblocks', 'chgrp', 'O0', 'O1', 0.9973690179178952, 6.928523778915405]
['BO', 6, 'CO', 384, 'codeblocks', 'head', 'O0', 'O0', 0.999271137026239, 5.159834146499634]
['UO', 71, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9747051473501356, 95.35743975639343]
