['CO', 71, 'BO', 12, 'readlink', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9973699590882524, 21.45448088645935]
['BO', 6, 'CO', 178, 'codeblocks', 'unexpand', 'O0', 'O1', 0.9980770991667429, 5.5053205490112305]
['CO', 46, 'BO', 5, 'whoami', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9944444444444445, 5.703490734100342]
['CO', 375, 'BO', 12, 'logname', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9976215741519997, 18.57568097114563]
['CO', 278, 'BO', 5, 'b2sum', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9930906191868191, 7.575821399688721]
['BO', 5, 'CO', 126, 'libgeany.so.0.0.0', 'pwd', 'O1', 'O1', 0.999315537303217, 5.51146125793457]
['CO', 387, 'BO', 6, 'mv', 'codeblocks', 'O0', 'O0', 0.9832961651143469, 29.964760303497314]
['CO', 285, 'BO', 12, 'env', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9982792392040566, 15.65528678894043]
['CO', 81, 'BO', 5, 'cat', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9935412788267923, 6.756786584854126]
['UO', 64, 'BO', 12, 'diff', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9957011000126438, 57.89844989776611]
['UO', 80, 'BO', 5, 'objdump', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9731683276749534, 200.98598790168762]
['CO', 367, 'BO', 5, 'cp', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9815418421534517, 27.767528295516968]
['BO', 12, 'CO', 82, 'libgeany.so.0.0.0', 'shuf', 'O0', 'O3', 0.9997082740765051, 18.694817781448364]
['BO', 6, 'CO', 136, 'codeblocks', 'expr', 'O0', 'O1', 0.9979024167806657, 6.445362091064453]
['BO', 12, 'CO', 359, 'libgeany.so.0.0.0', 'numfmt', 'O0', 'O0', 0.9997448561170746, 19.10959768295288]
['BO', 12, 'CO', 248, 'libgeany.so.0.0.0', 'sync', 'O0', 'O2', 0.9997802881886592, 9.404401540756226]
['UO', 87, 'BO', 5, 'find', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9720939918781021, 51.30915379524231]
['BO', 5, 'CO', 61, 'libgeany.so.0.0.0', 'cksum', 'O1', 'O3', 0.9993916581118588, 4.509103775024414]
['BO', 5, 'UO', 66, 'libgeany.so.0.0.0', 'nm', 'O1', 'O0', 0.9964847419618776, 123.89749360084534]
['BO', 5, 'CO', 199, 'libgeany.so.0.0.0', 'sha224sum', 'O1', 'O1', 0.9993161094224924, 4.8908069133758545]
['BO', 12, 'CO', 73, 'libgeany.so.0.0.0', 'hostid', 'O0', 'O3', 0.9998170542068385, 8.925566911697388]
['BO', 5, 'CO', 357, 'libgeany.so.0.0.0', 'split', 'O1', 'O0', 0.9995476136620675, 8.025626182556152]
['BO', 6, 'CO', 56, 'codeblocks', 'cut', 'O0', 'O3', 0.9988119173825626, 4.769916296005249]
['BO', 5, 'CO', 307, 'libgeany.so.0.0.0', 'sort', 'O1', 'O2', 0.9981344675770465, 12.644869327545166]
['CO', 203, 'BO', 12, 'sort', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9957270373522116, 43.78358173370361]
['UO', 81, 'BO', 6, 'diff3', 'codeblocks', 'O0', 'O0', 0.9922958397534669, 9.319543600082397]
