['BO', 12, 'CO', 68, 'libgeany.so.0.0.0', 'yes', 'O0', 'O3', 0.9998536594289059, 10.999022245407104]
['CO', 109, 'BO', 6, 'basename', 'codeblocks', 'O1', 'O0', 0.9951367223343732, 5.416322708129883]
['CO', 162, 'BO', 6, 'df', 'codeblocks', 'O1', 'O0', 0.9929548841620377, 12.844270944595337]
['BO', 12, 'CO', 365, 'libgeany.so.0.0.0', 'chmod', 'O0', 'O0', 0.9997087944088526, 23.358838081359863]
['CO', 204, 'BO', 5, 'tac', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9927062756419996, 7.332647800445557]
['CO', 210, 'BO', 5, 'stat', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9886145146088595, 11.270443677902222]
['CO', 301, 'BO', 12, 'nl', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9983533673637411, 15.952470541000366]
['BO', 5, 'CO', 44, 'libgeany.so.0.0.0', 'seq', 'O1', 'O3', 0.9992410155212326, 5.913451910018921]
['BO', 5, 'CO', 260, 'libgeany.so.0.0.0', 'sha256sum', 'O1', 'O2', 0.999543552681628, 5.035850524902344]
['BO', 6, 'CO', 107, 'codeblocks', 'unlink', 'O0', 'O1', 0.9984395079860474, 4.329342603683472]
['BO', 5, 'UO', 40, 'libgeany.so.0.0.0', 'objdump', 'O1', 'O2', 0.9967431621483067, 128.70461869239807]
['CO', 243, 'BO', 5, 'base32', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9945174186179326, 5.137433052062988]
['CO', 37, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O3', 'O1', 0.993993993993994, 5.6773176193237305]
['CO', 152, 'BO', 5, 'ls', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9852612773559625, 17.571685791015625]
['UO', 23, 'BO', 6, 'cmp', 'codeblocks', 'O2', 'O0', 0.9962514285714286, 6.478867530822754]
['UO', 36, 'BO', 6, 'addr2line', 'codeblocks', 'O2', 'O0', 0.9785169785169785, 65.57647633552551]
['CO', 232, 'BO', 12, 'tee', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9977680613234299, 14.525563955307007]
['BO', 6, 'CO', 232, 'codeblocks', 'tee', 'O0', 'O2', 0.9988079409472285, 4.193790674209595]
['BO', 5, 'CO', 255, 'libgeany.so.0.0.0', 'numfmt', 'O1', 'O2', 0.9991648318274998, 5.301406383514404]
['BO', 5, 'CO', 386, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O0', 0.9996203636915835, 5.475013256072998]
['BO', 5, 'CO', 14, 'libgeany.so.0.0.0', 'stty', 'O1', 'O3', 0.9993183625553831, 5.995904207229614]
['BO', 5, 'CO', 316, 'libgeany.so.0.0.0', 'test', 'O1', 'O0', 0.999620809949947, 6.040114402770996]
['BO', 5, 'UO', 20, 'libgeany.so.0.0.0', 'diff', 'O1', 'O1', 0.998516155358534, 15.360112428665161]
['CO', 306, 'BO', 5, 'sleep', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9956543285175161, 4.281681776046753]
['CO', 344, 'BO', 6, 'expr', 'codeblocks', 'O0', 'O0', 0.9940844557699309, 7.9062628746032715]
