['BO', 5, 'UO', 62, 'libgeany.so.0.0.0', 'diff3', 'O1', 'O3', 0.9993199078097253, 8.78281831741333]
['BO', 5, 'CO', 412, 'libgeany.so.0.0.0', 'tac', 'O1', 'O0', 0.9996967974227781, 7.688826084136963]
['CO', 383, 'BO', 5, 'readlink', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9908263836239576, 9.875864505767822]
['BO', 5, 'CO', 332, 'libgeany.so.0.0.0', 'mkfifo', 'O1', 'O0', 0.9990998424724327, 13.798154592514038]
['BO', 6, 'UO', 50, 'codeblocks', 'strings', 'O0', 'O3', 0.9886438255629804, 77.1614739894867]
['CO', 292, 'BO', 12, 'vdir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9946745883674172, 53.42622637748718]
['CO', 71, 'BO', 6, 'readlink', 'codeblocks', 'O3', 'O0', 0.9957994703680029, 7.9596312046051025]
['BO', 6, 'CO', 82, 'codeblocks', 'shuf', 'O0', 'O3', 0.9989088925259137, 8.494810581207275]
['BO', 6, 'CO', 312, 'codeblocks', 'sha384sum', 'O0', 'O0', 0.9995438164317322, 7.071168422698975]
['BO', 12, 'CO', 271, 'libgeany.so.0.0.0', 'logname', 'O0', 'O2', 0.9997069811735404, 10.421675205230713]
['CO', 180, 'BO', 12, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9973675069925596, 20.49067258834839]
['BO', 6, 'CO', 141, 'codeblocks', 'truncate', 'O0', 'O1', 0.9981661470750046, 5.373023986816406]
['CO', 124, 'BO', 6, 'mkfifo', 'codeblocks', 'O1', 'O0', 0.9957794293054408, 5.729670286178589]
['CO', 304, 'BO', 5, 'fold', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9945147036416273, 5.801568984985352]
['CO', 287, 'BO', 12, 'link', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9980587502747051, 13.420034646987915]
['CO', 400, 'BO', 6, 'shred', 'codeblocks', 'O0', 'O0', 0.9924805218336655, 13.009642124176025]
['CO', 366, 'BO', 12, 'true', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9978406075578735, 17.552195072174072]
['CO', 178, 'BO', 5, 'unexpand', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9923974607518912, 7.168055772781372]
['CO', 231, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9919098744896416, 10.494992971420288]
['UO', 74, 'BO', 12, 'ld', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9890197054294912, 480.17429089546204]
['BO', 12, 'CO', 89, 'libgeany.so.0.0.0', 'pathchk', 'O0', 'O3', 0.9997440865718569, 12.120532989501953]
['CO', 139, 'BO', 5, 'base32', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9930056638917398, 6.8886754512786865]
['BO', 6, 'CO', 401, 'codeblocks', 'pathchk', 'O0', 'O0', 0.9994503481128618, 4.892302751541138]
['UO', 20, 'BO', 12, 'diff', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9951935239058942, 53.98403000831604]
['CO', 406, 'BO', 5, 'rm', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9863353104587431, 14.01164174079895]
