['CO', 347, 'BO', 6, 'base32', 'codeblocks', 'O0', 'O0', 0.9955232744050067, 8.751866579055786]
['CO', 359, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9961363926299867, 32.567060232162476]
['CO', 290, 'BO', 12, 'shuf', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9977733569381833, 26.85669445991516]
['BO', 5, 'CO', 146, 'libgeany.so.0.0.0', 'sum', 'O1', 'O1', 0.9991641972494492, 6.2093775272369385]
['CO', 377, 'BO', 5, 'false', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9938309215536938, 6.277864694595337]
['BO', 12, 'UO', 8, 'libgeany.so.0.0.0', 'c++filt', 'O0', 'O1', 0.9946037671814016, 191.4641661643982]
['BO', 12, 'UO', 39, 'libgeany.so.0.0.0', 'size', 'O0', 'O2', 0.9952412515508421, 192.5322585105896]
['BO', 5, 'CO', 7, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O3', 0.9992406408990812, 5.846736907958984]
['CO', 362, 'BO', 6, 'dircolors', 'codeblocks', 'O0', 'O0', 0.9946964155084126, 8.425071001052856]
['CO', 311, 'BO', 5, 'ln', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9898289761169291, 12.70069408416748]
['BO', 12, 'CO', 203, 'libgeany.so.0.0.0', 'sort', 'O0', 'O1', 0.999058499755572, 38.60074591636658]
['BO', 6, 'CO', 284, 'codeblocks', 'md5sum', 'O0', 'O2', 0.9987165383204987, 4.922351837158203]
['CO', 29, 'BO', 6, 'nproc', 'codeblocks', 'O3', 'O0', 0.997710098465766, 6.062748193740845]
['BO', 12, 'CO', 372, 'libgeany.so.0.0.0', 'base64', 'O0', 'O0', 0.9998173282428804, 15.290571212768555]
['CO', 289, 'BO', 6, 'cat', 'codeblocks', 'O2', 'O0', 0.996694518409696, 5.578481197357178]
['BO', 5, 'CO', 124, 'libgeany.so.0.0.0', 'mkfifo', 'O1', 'O1', 0.9992384723755854, 4.7384161949157715]
['CO', 105, 'BO', 12, 'touch', 'libgeany.so.0.0.0', 'O1', 'O0', 0.996426943760824, 29.21543264389038]
['BO', 5, 'CO', 302, 'libgeany.so.0.0.0', 'rm', 'O1', 'O2', 0.9986428921476231, 9.871406316757202]
['CO', 89, 'BO', 12, 'pathchk', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9980258106971813, 17.066304445266724]
['BO', 6, 'CO', 258, 'codeblocks', 'dircolors', 'O0', 'O2', 0.9988082141547489, 5.049477577209473]
['CO', 117, 'BO', 6, 'printenv', 'codeblocks', 'O1', 'O0', 0.9954088425692117, 5.169013261795044]
['CO', 38, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9928639210476371, 7.117313385009766]
['BO', 5, 'CO', 401, 'libgeany.so.0.0.0', 'pathchk', 'O1', 'O0', 0.9996957827889112, 5.461976528167725]
['BO', 5, 'CO', 178, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O1', 0.9992397460751891, 5.689172029495239]
['BO', 12, 'UO', 15, 'libgeany.so.0.0.0', 'elfedit', 'O0', 'O1', 0.9997076450811285, 11.812643051147461]
