['BO', 12, 'CO', 148, 'libgeany.so.0.0.0', 'seq', 'O0', 'O1', 0.999634442799437, 14.645026683807373]
['BO', 5, 'UO', 17, 'libgeany.so.0.0.0', 'objdump', 'O1', 'O1', 0.9953287818900467, 143.64502048492432]
['BO', 12, 'CO', 356, 'libgeany.so.0.0.0', 'seq', 'O0', 'O0', 0.9998538492454967, 15.307896614074707]
['BO', 12, 'CO', 266, 'libgeany.so.0.0.0', 'df', 'O0', 'O2', 0.9992723303620157, 26.558766841888428]
['BO', 12, 'CO', 11, 'libgeany.so.0.0.0', 'groups', 'O0', 'O3', 0.9998171779589747, 12.88284707069397]
['CO', 329, 'BO', 5, 'stdbuf', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9908197716323357, 8.512131214141846]
['BO', 12, 'CO', 110, 'libgeany.so.0.0.0', 'mkdir', 'O0', 'O1', 0.9995251488475728, 16.787919282913208]
['CO', 147, 'BO', 6, 'chroot', 'codeblocks', 'O1', 'O0', 0.9953345835429721, 7.392277956008911]
['CO', 67, 'BO', 6, 'nohup', 'codeblocks', 'O3', 'O0', 0.9971632503660323, 6.789365291595459]
['BO', 6, 'CO', 140, 'codeblocks', 'pinky', 'O0', 'O1', 0.9981703412313604, 6.165567636489868]
['BO', 5, 'CO', 48, 'libgeany.so.0.0.0', 'ls', 'O1', 'O3', 0.998365163112135, 16.911996364593506]
['BO', 6, 'CO', 127, 'codeblocks', 'pr', 'O0', 'O1', 0.997366628830874, 8.897872924804688]
['BO', 5, 'CO', 285, 'libgeany.so.0.0.0', 'env', 'O1', 'O2', 0.999542717780657, 4.3094072341918945]
['CO', 247, 'BO', 5, 'paste', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9943621195383033, 5.580312967300415]
['BO', 6, 'CO', 55, 'codeblocks', 'cp', 'O0', 'O3', 0.9977705444330495, 15.384449481964111]
['BO', 5, 'CO', 87, 'libgeany.so.0.0.0', 'id', 'O1', 'O3', 0.9993169139691094, 6.194665908813477]
['CO', 11, 'BO', 6, 'groups', 'codeblocks', 'O3', 'O0', 0.99697912852435, 7.056490182876587]
['UO', 31, 'BO', 12, 'c++filt', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9882583170254403, 224.6663520336151]
['CO', 63, 'BO', 5, 'logname', 'libgeany.so.0.0.0', 'O3', 'O1', 0.994596034554934, 5.329950332641602]
['BO', 12, 'CO', 396, 'libgeany.so.0.0.0', 'vdir', 'O0', 'O0', 0.9997118415128321, 48.20339322090149]
['CO', 61, 'BO', 12, 'cksum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.997951943824745, 16.04895853996277]
['CO', 10, 'BO', 6, 'users', 'codeblocks', 'O3', 'O0', 0.997620246212988, 5.941276550292969]
['BO', 6, 'CO', 324, 'codeblocks', 'ptx', 'O0', 'O0', 0.9992763128137863, 9.362622737884521]
['CO', 236, 'BO', 5, 'factor', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9922019911420676, 8.35913372039795]
['BO', 6, 'CO', 123, 'codeblocks', 'dd', 'O0', 'O1', 0.9978238201024618, 8.61878752708435]
